Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-09-20;19,00;123,50;4,75;9,50;9,50;8,00;9,00;5,00;4,00;5,00;5,00;1,00;3,00
2020-09-27;19,00;114,00;4,75;4,75;9,50;10,00;10,00;3,00;6,00;3,00;4,00;1,00;1,00
2020-10-04;20,00;150,00;5,00;10,00;10,00;10,00;11,00;5,00;5,00;5,00;5,00;1,00;1,00
2020-10-11;20,00;145,00;5,00;10,00;10,00;9,00;12,00;5,00;7,00;5,00;5,00;2,00;1,00
2020-10-18;19,00;128,25;4,75;9,50;9,50;9,00;10,00;5,00;9,00;4,00;4,00;1,00;1,00
2020-10-25;24,00;120,00;4,80;4,80;9,60;6,00;4,00;4,00;7,00;4,00;3,00;2,00;0,50
2020-11-01;17,00;80,75;4,25;8,50;8,50;9,00;5,00;5,00;3,00;4,00;3,00;1,00;0,50
2020-11-08;18,00;103,50;4,50;4,50;9,00;5,00;7,00;5,00;5,00;5,00;4,00;1,00;0,50
2020-11-15;15,00;115,00;2,50;5,00;10,00;7,00;8,00;4,00;5,00;4,00;2,00;2,00;2,00
2020-11-22;14,00;112,00;4,67;4,67;4,67;9,00;8,00;4,00;6,00;4,00;4,00;2,00;1,00
2020-11-29;16,00;122,67;2,67;5,33;10,67;8,00;5,00;3,00;7,00;5,00;3,00;1,00;2,00
2020-12-06;16,00;138,67;5,33;10,67;5,33;7,00;7,00;4,00;7,00;5,00;3,00;1,00;1,00
2020-12-13;14,00;98,00;4,67;4,67;4,67;8,00;7,00;3,00;5,00;3,00;3,00;3,00;1,00
2020-12-20;11,00;148,50;5,50;5,50;11,00;9,00;7,00;5,00;4,00;4,00;4,00;2,00;1,00
2020-12-27;17,00;153,00;5,67;5,67;5,67;6,00;7,00;4,00;7,00;5,00;3,00;2,00;1,00
2021-01-03;16,00;133,33;5,33;5,33;10,67;8,00;7,00;5,00;8,00;3,00;3,00;2,00;1,00
2021-01-10;16,00;117,33;5,33;5,33;10,67;7,00;7,00;6,00;4,00;4,00;3,00;1,00;1,00
2021-01-17;14,00;93,33;2,33;4,67;4,67;5,00;6,00;4,00;7,00;2,00;2,00;2,00;1,00
2021-01-24;12,00;114,00;3,00;6,00;6,00;8,00;5,00;2,00;5,00;2,00;3,00;1,00;1,00
2021-01-31;12,00;108,00;3,00;6,00;6,00;6,00;6,00;4,00;3,00;2,00;2,00;2,00;0,50
2021-02-07;10,00;90,00;2,50;5,00;5,00;6,00;6,00;3,00;5,00;4,00;2,00;2,00;0,50
2021-02-14;11,00;110,00;5,50;5,50;5,50;7,00;6,00;6,00;6,00;2,00;4,00;1,00;1,00
2021-02-21;19,00;104,50;4,75;4,75;4,75;8,00;8,00;5,00;3,00;3,00;2,00;2,00;0,50
2021-02-28;16,00;90,67;5,33;5,33;5,33;6,00;4,00;2,00;3,00;3,00;2,00;2,00;1,00
2021-03-07;16,00;122,67;5,33;10,67;5,33;7,00;11,00;4,00;2,00;3,00;3,00;2,00;1,00
2021-03-14;19,00;104,50;4,75;4,75;9,50;8,00;8,00;3,00;6,00;4,00;3,00;1,00;0,00
2021-03-21;10,00;85,00;5,00;5,00;5,00;10,00;7,00;4,00;4,00;4,00;2,00;1,00;0,50
2021-03-28;10,00;75,00;2,50;5,00;5,00;6,00;6,00;2,00;2,00;2,00;1,00;1,00;0,50
2021-04-04;8,00;48,00;2,00;4,00;4,00;5,00;5,00;1,00;2,00;2,00;1,00;0,50;0,50
