Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;15,00;41,67;10,00;31,67;3,33;4,00;30,00;7,00;4,00
2020-05-24;33,00;24,32;38,21;46,89;6,95;0,00;22,00;4,00;0,00
2020-05-31;4,00;16,00;20,00;92,00;4,00;0,00;11,00;0,00;4,00
2020-06-07;32,00;32,00;7,11;55,11;3,56;3,00;17,00;7,00;3,00
2020-06-14;58,00;35,15;35,15;63,27;0,00;4,00;7,00;7,00;18,00
2020-06-21;27,00;27,00;30,60;61,20;7,20;8,00;26,00;8,00;19,00
2020-06-28;27,00;30,60;21,60;72,00;0,00;19,00;11,00;0,00;4,00
2020-07-05;36,00;19,80;30,60;75,60;3,60;8,00;23,00;4,00;0,00
2020-07-12;41,00;39,22;16,04;55,26;7,13;4,00;20,00;0,00;4,00
2020-07-19;38,00;38,00;12,67;63,33;0,00;12,00;12,00;8,00;8,00
2020-07-26;38,00;12,67;16,29;47,05;0,00;12,00;12,00;4,00;4,00
2020-08-02;25,00;35,71;28,57;48,21;3,57;4,00;0,00;16,00;12,00
2020-08-09;31,00;34,65;20,06;71,12;0,00;4,00;8,00;8,00;4,00
2020-08-16;30,00;44,12;14,12;104,12;7,06;7,00;11,00;7,00;4,00
2020-08-23;40,00;24,35;24,35;43,48;0,00;0,00;7,00;0,00;4,00
2020-08-30;45,00;45,00;23,40;48,60;0,00;11,00;4,00;4,00;8,00
2020-09-06;34,00;48,32;14,32;89,47;3,58;4,00;4,00;4,00;4,00
2020-09-13;23,00;23,00;26,54;63,69;0,00;7,00;8,00;0,00;0,00
2020-09-20;36,00;43,20;14,40;46,80;0,00;0,00;7,00;0,00;0,00
2020-09-27;30,00;37,06;7,06;40,59;3,53;11,00;23,00;11,00;4,00
2020-10-04;39,00;26,59;7,09;78,00;0,00;8,00;0,00;4,00;19,00
2020-10-11;28,00;22,75;3,50;78,75;7,00;4,00;8,00;12,00;12,00
2020-10-18;8,00;14,00;26,00;40,00;0,00;0,00;8,00;8,00;4,00
2020-10-25;30,00;14,12;33,53;84,71;3,53;7,00;11,00;4,00;11,00
2020-11-01;14,00;17,50;24,50;31,50;0,00;7,00;0,00;4,00;0,00
2020-11-08;15,00;25,00;15,00;46,67;6,67;4,00;8,00;11,00;11,00
2020-11-15;38,00;23,52;7,24;61,52;0,00;4,00;0,00;11,00;8,00
2020-11-22;30,00;40,59;7,06;67,06;0,00;4,00;19,00;15,00;19,00
2020-11-29;19,00;47,50;28,50;72,20;3,80;4,00;8,00;0,00;0,00
2020-12-06;22,00;56,83;38,50;67,83;3,67;11,00;0,00;11,00;4,00
2020-12-13;23,00;37,15;26,54;60,15;0,00;8,00;31,00;19,00;0,00
2020-12-20;31,00;49,24;31,00;58,35;9,12;0,00;4,00;9,00;9,00
2020-12-27;30,00;72,35;26,47;68,82;3,53;9,00;4,00;13,00;4,00
2021-01-03;34,00;48,32;26,84;87,68;0,00;19,00;8,00;7,00;4,00
2021-01-10;34,00;85,89;26,84;132,42;3,58;11,00;11,00;0,00;8,00
2021-01-17;41,00;85,57;48,13;112,30;3,57;7,00;11,00;22,00;8,00
2021-01-24;45,00;82,80;27,00;117,00;3,60;19,00;8,00;15,00;0,00
2021-01-31;22,00;99,00;14,67;121,00;0,00;7,00;19,00;4,00;0,00
2021-02-07;22,00;88,00;10,15;60,92;0,00;11,00;11,00;15,00;15,00
2021-02-14;19,00;55,27;10,36;19,00;3,45;4,00;12,00;0,00;12,00
2021-02-21;23,00;61,92;30,08;72,54;0,00;8,00;12,00;4,00;12,00
2021-02-28;38,00;38,00;19,90;57,90;3,62;8,00;19,00;0,00;4,00
2021-03-07;30,00;44,12;37,06;70,59;0,00;7,00;23,00;4,00;4,00
2021-03-14;21,00;52,50;21,00;56,00;0,00;14,00;7,00;11,00;0,00
2021-03-21;34,00;23,26;26,84;34,00;3,58;0,00;0,00;11,00;0,00
2021-03-28;29,00;25,38;25,38;34,44;3,63;4,00;4,00;8,00;4,00
2021-04-04;28,00;24,50;15,75;47,25;0,00;12,00;12,00;4,00;8,00
2021-04-11;34,00;44,74;14,32;57,26;0,00;4,00;11,00;0,00;8,00
2021-04-18;27,00;50,40;12,60;86,40;0,00;12,00;20,00;11,00;12,00
2021-04-25;26,00;29,47;19,07;55,47;0,00;11,00;4,00;22,00;4,00
2021-05-02;15,00;43,33;18,33;28,33;0,00;8,00;15,00;15,00;11,00
2021-05-09;20,00;40,00;23,64;83,64;0,00;4,00;0,00;8,00;8,00
