Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;22,00;6,00;13,00;15,00;3,00;0,00;4,00;3,00;7,00
2020-05-24;86,00;7,00;11,00;15,00;1,00;2,00;7,00;5,00;11,00
2020-05-31;27,00;7,00;9,00;19,00;4,00;0,00;15,00;9,00;4,00
2020-06-07;31,00;3,00;4,00;25,00;4,00;0,00;3,00;7,00;6,00
2020-06-14;28,00;5,00;8,00;31,00;2,00;0,00;11,00;3,00;6,00
2020-06-21;27,00;2,00;5,00;10,00;8,00;3,00;13,00;2,00;7,00
2020-06-28;43,00;8,00;12,00;12,00;0,00;2,00;5,00;3,00;3,00
2020-07-05;31,00;5,00;8,00;12,00;3,00;3,00;5,00;2,00;0,00
2020-07-12;42,00;5,00;18,00;25,00;0,00;2,00;0,00;4,00;11,00
2020-07-19;36,00;14,00;5,00;21,00;4,00;0,00;2,00;2,00;4,00
2020-07-26;27,00;14,00;11,00;38,00;2,00;2,00;5,00;0,00;2,00
2020-08-02;70,00;16,00;16,00;29,00;2,00;2,00;7,00;5,00;7,00
2020-08-09;27,00;16,00;12,00;27,00;0,00;4,00;4,00;12,00;2,00
2020-08-16;72,00;20,00;18,00;25,00;0,00;2,00;9,00;7,00;2,00
2020-08-23;35,00;7,00;16,00;26,00;2,00;3,00;14,00;11,00;7,00
2020-08-30;31,00;10,00;17,00;26,00;8,00;0,00;5,00;7,00;7,00
2020-09-06;26,00;9,00;51,00;21,00;2,00;7,00;5,00;2,00;3,00
2020-09-13;16,00;12,00;5,00;16,00;2,00;2,00;7,00;2,00;3,00
2020-09-20;18,00;7,00;8,00;21,00;0,00;0,00;3,00;3,00;2,00
2020-09-27;20,00;8,00;8,00;27,00;0,00;0,00;7,00;5,00;46,00
2020-10-04;27,00;3,00;7,00;25,00;0,00;3,00;5,00;0,00;20,00
2020-10-11;22,00;4,00;13,00;20,00;2,00;2,00;4,00;5,00;2,00
2020-10-18;17,00;12,00;7,00;19,00;0,00;2,00;5,00;2,00;10,00
2020-10-25;23,00;16,00;11,00;35,00;7,00;5,00;3,00;7,00;2,00
2020-11-01;23,00;15,00;3,00;26,00;0,00;0,00;6,00;3,00;0,00
2020-11-08;21,00;9,00;3,00;21,00;3,00;2,00;5,00;7,00;5,00
2020-11-15;19,00;10,00;14,00;23,00;2,00;3,00;2,00;12,00;3,00
2020-11-22;28,00;5,00;5,00;13,00;2,00;0,00;2,00;5,00;2,00
2020-11-29;36,00;8,00;10,00;20,00;5,00;2,00;3,00;3,00;2,00
2020-12-06;19,00;12,00;9,00;21,00;3,00;5,00;7,00;5,00;7,00
2020-12-13;16,00;5,00;14,00;38,00;2,00;2,00;3,00;7,00;0,00
2020-12-20;25,00;11,00;11,00;15,00;2,00;2,00;8,00;6,00;6,00
2020-12-27;24,00;20,00;17,00;60,00;0,00;11,00;6,00;6,00;2,00
2021-01-03;36,00;5,00;15,00;22,00;0,00;7,00;0,00;2,00;2,00
2021-01-10;23,00;14,00;7,00;30,00;3,00;0,00;7,00;3,00;5,00
2021-01-17;27,00;12,00;13,00;22,00;2,00;0,00;2,00;5,00;2,00
2021-01-24;28,00;12,00;8,00;27,00;3,00;2,00;2,00;5,00;3,00
2021-01-31;36,00;19,00;10,00;19,00;5,00;3,00;14,00;0,00;7,00
2021-02-07;24,00;5,00;10,00;23,00;9,00;0,00;7,00;7,00;14,00
2021-02-14;39,00;9,00;12,00;27,00;3,00;2,00;2,00;4,00;5,00
2021-02-21;24,00;5,00;9,00;30,00;2,00;0,00;7,00;9,00;5,00
2021-02-28;17,00;17,00;12,00;24,00;0,00;0,00;10,00;3,00;12,00
2021-03-07;41,00;2,00;11,00;19,00;3,00;0,00;4,00;4,00;4,00
2021-03-14;18,00;7,00;12,00;25,00;0,00;2,00;5,00;12,00;0,00
2021-03-21;24,00;2,00;15,00;31,00;5,00;4,00;7,00;0,00;5,00
2021-03-28;20,00;14,00;16,00;41,00;0,00;4,00;4,00;4,00;10,00
2021-04-04;21,00;4,00;14,00;20,00;5,00;5,00;4,00;2,00;4,00
2021-04-11;11,00;5,00;9,00;7,00;0,00;0,00;5,00;7,00;2,00
2021-04-18;26,00;11,00;11,00;23,00;3,00;2,00;7,00;14,00;2,00
2021-04-25;32,00;17,00;14,00;19,00;0,00;2,00;3,00;3,00;2,00
2021-05-02;16,00;14,00;7,00;25,00;7,00;2,00;4,00;2,00;7,00
2021-05-09;21,00;11,00;12,00;18,00;0,00;3,00;5,00;3,00;3,00
2021-05-16;16,00;5,00;11,00;20,00;9,00;2,00;5,00;11,00;0,00
2021-05-23;33,00;13,00;16,00;46,00;2,00;2,00;7,00;4,00;2,00
2021-05-30;36,00;7,00;11,00;20,00;0,00;4,00;7,00;5,00;9,00
2021-06-06;31,00;11,00;26,00;26,00;0,00;0,00;4,00;4,00;2,00
2021-06-13;20,00;13,00;11,00;33,00;0,00;5,00;2,00;5,00;4,00
2021-06-20;61,00;10,00;11,00;25,00;0,00;4,00;4,00;2,00;8,00
2021-06-27;24,00;8,00;13,00;11,00;6,00;4,00;7,00;4,00;6,00
2021-07-04;48,00;8,00;6,00;6,00;0,00;6,00;11,00;4,00;15,00
2021-07-11;42,00;10,00;13,00;35,00;2,00;6,00;6,00;10,00;2,00
2021-07-18;32,00;10,00;14,00;26,00;6,00;6,00;10,00;8,00;4,00
2021-07-25;56,00;21,00;23,00;35,00;0,00;2,00;4,00;10,00;6,00
2021-08-01;58,00;17,00;13,00;17,00;4,00;0,00;4,00;4,00;4,00
2021-08-08;66,00;20,00;22,00;26,00;0,00;6,00;10,00;16,00;2,00
2021-08-15;100,00;24,00;23,00;28,00;2,00;4,00;4,00;2,00;6,00
2021-08-22;63,00;21,00;21,00;21,00;2,00;2,00;4,00;2,00;0,00
2021-08-29;30,00;8,00;10,00;48,00;0,00;6,00;10,00;8,00;4,00
2021-09-05;27,00;6,00;8,00;25,00;8,00;2,00;8,00;2,00;0,00
2021-09-12;24,00;4,00;14,00;35,00;2,00;0,00;2,00;8,00;6,00
2021-09-19;24,00;22,00;16,00;12,00;2,00;2,00;12,00;4,00;2,00
2021-09-26;48,00;18,00;12,00;14,00;0,00;4,00;20,00;2,00;6,00
2021-10-03;84,00;16,00;14,00;18,00;4,00;0,00;4,00;0,00;6,00
2021-10-10;24,00;11,00;19,00;19,00;6,00;2,00;13,00;11,00;4,00
2021-10-17;28,00;18,00;26,00;45,00;0,00;2,00;8,00;4,00;4,00
2021-10-24;24,00;12,00;18,00;46,00;4,00;2,00;6,00;12,00;4,00
2021-10-31;32,00;15,00;17,00;34,00;2,00;0,00;6,00;4,00;2,00
2021-11-07;30,00;11,00;15,00;28,00;2,00;0,00;4,00;4,00;8,00
2021-11-14;18,00;28,00;24,00;33,00;0,00;0,00;4,00;2,00;4,00
2021-11-21;21,00;29,00;19,00;25,00;2,00;2,00;6,00;10,00;6,00
2021-11-28;27,00;8,00;27,00;29,00;4,00;4,00;6,00;2,00;2,00
2021-12-05;36,00;11,00;9,00;25,00;4,00;2,00;0,00;11,00;9,00
2021-12-12;25,00;7,00;9,00;23,00;0,00;2,00;2,00;2,00;25,00
2021-12-19;10,00;13,00;23,00;96,00;5,00;0,00;10,00;8,00;5,00
2021-12-26;27,00;8,00;19,00;32,00;3,00;3,00;8,00;3,00;3,00
2022-01-02;30,00;5,00;23,00;38,00;2,00;7,00;8,00;8,00;3,00
2022-01-09;26,00;7,00;14,00;36,00;0,00;9,00;5,00;7,00;45,00
2022-01-16;36,00;5,00;10,00;29,00;2,00;7,00;2,00;5,00;0,00
2022-01-23;34,00;10,00;19,00;43,00;2,00;2,00;10,00;10,00;2,00
2022-01-30;35,00;13,00;13,00;40,00;7,00;2,00;5,00;5,00;5,00
2022-02-06;27,00;17,00;17,00;40,00;0,00;2,00;12,00;7,00;2,00
2022-02-13;22,00;14,00;7,00;24,00;0,00;2,00;2,00;5,00;2,00
2022-02-20;30,00;5,00;10,00;37,00;5,00;0,00;2,00;7,00;12,00
2022-02-27;17,00;17,00;3,00;23,00;3,00;0,00;6,00;6,00;3,00
