Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-23;59,00;1,00;4,00;0,00;3,00;0,00;0,00;1,00;0,00;1,00;3,00;4,00;10,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;46,00;1,00;1,00;6,00;0,00;0,00;0,00;2,00;0,00;1,00;27,00;6,00;2,00;0,00;1,00;2,00;6,00;1,00;2,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;60,00;0,00;0,00;1,00;3,00;1,00;0,00;1,00;1,00;5,00;31,00;4,00;9,00;1,00;1,00;1,00;8,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;81,00;3,00;8,00;3,00;0,00;0,00;0,00;6,00;0,00;3,00;8,00;4,00;3,00;0,00;0,00;3,00;6,00;1,00;0,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00
2019-07-21;89,00;9,00;6,00;6,00;12,00;0,00;1,00;3,00;0,00;7,00;9,00;6,00;1,00;0,00;0,00;0,00;3,00;4,00;1,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-07-28;75,00;0,00;4,00;5,00;4,00;1,00;0,00;6,00;0,00;6,00;6,00;6,00;10,00;0,00;4,00;0,00;4,00;0,00;3,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;77,00;4,00;3,00;1,00;3,00;0,00;0,00;4,00;0,00;4,00;3,00;7,00;3,00;1,00;1,00;1,00;3,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;79,00;4,00;3,00;3,00;3,00;3,00;0,00;6,00;3,00;3,00;8,00;6,00;5,00;0,00;0,00;0,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;84,00;0,00;5,00;1,00;7,00;2,00;0,00;1,00;0,00;7,00;10,00;10,00;1,00;0,00;2,00;1,00;1,00;1,00;2,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;74,00;0,00;2,00;0,00;6,00;1,00;0,00;2,00;0,00;6,00;7,00;7,00;9,00;0,00;0,00;0,00;5,00;1,00;0,00;1,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;71,00;1,00;0,00;0,00;1,00;1,00;0,00;1,00;1,00;2,00;2,00;8,00;3,00;0,00;7,00;1,00;2,00;1,00;0,00;0,00;4,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00
2019-09-08;64,00;2,00;2,00;0,00;2,00;1,00;1,00;6,00;0,00;2,00;1,00;8,00;7,00;0,00;1,00;1,00;2,00;0,00;1,00;2,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;42,00;2,00;7,00;0,00;0,00;1,00;1,00;1,00;1,00;7,00;2,00;4,00;4,00;0,00;4,00;0,00;2,00;0,00;0,00;1,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-09-22;53,00;2,00;2,00;1,00;5,00;1,00;0,00;2,00;1,00;6,00;1,00;4,00;4,00;0,00;1,00;0,00;5,00;0,00;1,00;1,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
