Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;6,00;4,00;12,00;7,00;1,00;2,00;6,00;1,00;0,00;1,00;0,00;0,00;0,00;5,00;4,00;1,00;0,00;1,00;5,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;7,00;0,00;10,00;2,00;1,00;2,00;2,00;1,00;1,00;3,00;0,00;1,00;1,00;6,00;3,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;47,00;7,00;2,00;5,00;2,00;4,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;4,00;3,00;2,00;0,00;1,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;4,00;3,00;8,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;5,00;1,00;0,00;2,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;36,00;2,00;6,00;7,00;1,00;1,00;0,00;1,00;0,00;2,00;2,00;0,00;0,00;1,00;3,00;8,00;0,00;2,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;3,00;8,00;13,00;3,00;2,00;1,00;1,00;1,00;3,00;1,00;0,00;0,00;2,00;4,00;6,00;1,00;1,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;7,00;4,00;7,00;1,00;2,00;0,00;3,00;0,00;2,00;3,00;1,00;0,00;0,00;4,00;7,00;1,00;0,00;6,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;4,00;8,00;10,00;0,00;0,00;0,00;3,00;1,00;0,00;2,00;0,00;1,00;0,00;7,00;6,00;2,00;1,00;1,00;0,00;1,00;3,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;43,00;11,00;5,00;9,00;1,00;2,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;5,00;0,00;2,00;2,00;1,00;1,00;1,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;2,00;13,00;5,00;6,00;3,00;0,00;3,00;1,00;2,00;2,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;3,00;2,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;3,00;0,00;6,00;1,00;1,00;1,00;0,00;0,00;0,00;5,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-24;25,00;2,00;6,00;7,00;4,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-31;32,00;1,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;6,00;2,00;0,00;0,00;2,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;26,00;2,00;2,00;18,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;3,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
