Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;28,00;18,00;14,00;14,00;4,00;4,00;17,33;10,67;0,00
2020-05-24;24,00;34,00;10,00;41,00;0,00;10,67;6,67;10,67;0,00
2020-05-31;33,00;13,00;7,00;24,00;0,00;0,00;0,00;3,96;6,60
2020-06-07;17,00;26,00;10,00;37,00;3,00;7,08;7,08;17,00;7,08
2020-06-14;37,00;34,00;10,00;34,00;0,00;10,57;3,96;13,21;19,82
2020-06-21;46,00;18,00;7,00;40,00;0,00;10,51;3,94;14,46;24,97
2020-06-28;41,00;7,00;10,00;28,00;3,00;17,77;4,10;17,77;6,83
2020-07-05;53,00;14,00;7,00;29,00;0,00;0,00;10,87;21,74;0,00
2020-07-12;42,00;27,00;12,00;12,00;0,00;7,88;3,94;15,75;7,88
2020-07-19;58,00;19,00;23,00;23,00;0,00;8,09;16,19;12,14;4,05
2020-07-26;28,00;16,00;8,00;40,00;8,00;0,00;4,00;36,00;0,00
2020-08-02;20,00;12,00;4,00;20,00;8,00;0,00;0,00;32,00;8,00
2020-08-09;8,00;27,00;15,00;23,00;0,00;12,00;8,00;34,67;8,00
2020-08-16;89,00;7,00;7,00;22,00;0,00;0,00;3,99;37,19;3,99
2020-08-23;44,00;18,00;11,00;26,00;4,00;0,00;4,00;14,67;4,00
2020-08-30;15,00;36,00;7,00;22,00;7,00;4,09;4,09;10,91;4,09
2020-09-06;44,00;7,00;7,00;26,00;4,00;6,67;14,67;4,00;6,67
2020-09-13;30,00;19,00;15,00;15,00;4,00;10,43;0,00;11,74;3,91
2020-09-20;18,00;40,00;4,00;15,00;7,00;3,86;3,86;10,29;14,14
2020-09-27;15,00;18,00;4,00;22,00;4,00;6,82;0,00;30,00;10,91
2020-10-04;19,00;15,00;8,00;23,00;0,00;4,07;4,07;8,14;4,07
2020-10-11;12,00;12,00;8,00;16,00;0,00;4,00;4,00;16,00;4,00
2020-10-18;20,00;20,00;0,00;8,00;0,00;4,00;0,00;28,00;8,00
2020-10-25;23,00;16,00;4,00;27,00;0,00;12,18;0,00;16,24;0,00
