Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-08-29;27,00;120,00;57,00;36,00;78,00;45,90;2,70;37,80;55,35;22,09;63,82;127,64;56,45;19,64;90,82;31,91;19,64;35,00;18,00;34,00;33,00;13,00;43,00;12,00;10,00;14,00;2,00;40,00;5,00;4,00;3,00;2,00;7,00;3,00;2,00
2021-09-05;32,00;128,00;55,27;37,82;75,64;75,13;1,39;43,13;57,04;24,62;66,46;137,85;68,92;34,46;83,69;36,92;19,69;43,00;27,00;31,00;26,00;19,00;32,00;5,00;14,00;11,00;5,00;44,00;2,00;2,00;4,00;0,00;8,00;5,00;1,00
2021-09-12;36,00;141,00;63,00;36,00;81,00;60,92;1,38;66,46;59,54;28,80;60,00;129,60;62,40;28,80;100,80;36,00;24,00;46,00;15,00;36,00;35,00;12,00;37,00;8,00;18,00;9,00;1,00;34,00;3,00;5,00;3,00;2,00;7,00;4,00;2,00
2021-09-19;25,00;178,13;78,13;34,38;93,75;75,00;2,78;69,44;59,72;30,00;65,00;137,50;65,00;25,00;92,50;35,00;25,00;51,00;13,00;25,00;29,00;11,00;34,00;14,00;12,00;6,00;4,00;42,00;2,00;4,00;7,00;4,00;5,00;2,00;1,00
2021-09-26;23,00;155,25;74,75;43,13;94,88;78,47;2,71;62,24;55,47;27,60;55,20;138,00;78,20;23,00;98,90;41,40;20,70;40,00;21,00;26,00;29,00;8,00;42,00;19,00;14,00;11,00;2,00;33,00;1,00;8,00;3,00;2,00;3,00;3,00;2,00
2021-10-03;24,00;180,00;75,00;54,00;96,00;98,82;1,41;67,76;77,65;40,80;84,00;177,60;84,00;40,80;115,20;38,40;33,60;52,00;22,00;23,00;33,00;11,00;40,00;15,00;22,00;6,00;2,00;41,00;2,00;7,00;3,00;3,00;7,00;6,00;2,00
2021-10-10;19,00;192,71;78,71;57,00;89,57;99,07;2,71;65,14;73,29;35,63;73,63;178,13;85,50;35,63;111,63;35,63;40,38;35,00;22,00;35,00;26,00;19,00;37,00;10,00;14,00;9,00;4,00;44,00;5,00;8,00;4,00;2,00;10,00;2,00;2,00
2021-10-17;25,00;219,44;61,11;52,78;75,00;73,61;2,78;80,56;52,78;35,00;70,00;167,50;85,00;27,50;95,00;45,00;37,50;41,00;27,00;38,00;30,00;12,00;34,00;16,00;8,00;11,00;8,00;48,00;2,00;3,00;2,00;4,00;5,00;4,00;1,00
2021-10-24;21,00;180,00;69,00;63,00;87,00;67,20;2,80;57,40;58,80;23,63;70,88;181,13;76,13;39,67;65,33;46,67;35,00;31,00;24,00;30,00;36,00;29,00;49,00;17,00;11,00;8,00;5,00;38,00;1,00;3,00;3,00;2,00;2,00;6,00;1,00
2021-10-31;14,00;156,80;72,80;39,20;75,60;72,80;4,20;67,20;43,40;46,67;63,00;130,67;70,00;30,33;51,33;39,67;44,33;28,00;16,00;25,00;41,00;8,00;43,00;11,00;14,00;4,00;3,00;35,00;1,00;2,00;4,00;0,00;5,00;3,00;1,00
2021-11-07;11,00;173,25;66,00;46,75;46,75;56,38;1,38;52,25;52,25;30,80;55,00;136,40;59,40;33,00;48,40;39,60;30,80;22,00;17,00;35,00;35,00;9,00;42,00;12,00;10,00;7,00;3,00;26,00;1,00;3,00;3,00;1,00;4,00;2,00;1,00
2021-11-14;10,00;135,00;70,00;30,00;47,50;46,25;1,25;60,00;35,00;32,50;52,50;125,00;65,00;20,00;47,50;32,50;32,50;28,00;22,00;16,00;31,00;6,00;25,00;12,00;8,00;4,00;1,00;38,00;3,00;4,00;1,00;0,00;4,00;2,00;1,00
2021-11-21;13,00;139,75;71,50;29,25;61,75;44,78;1,44;53,44;27,44;33,80;46,80;122,20;65,00;23,40;33,80;15,60;41,60;17,00;15,00;22,00;29,00;5,00;26,00;7,00;17,00;4,00;4,00;25,00;3,00;2,00;2,00;1,00;4,00;1,00;1,00
2021-11-28;13,00;136,50;55,25;26,00;45,50;36,11;2,89;50,56;28,89;15,60;36,40;101,40;54,60;13,00;36,40;10,40;33,80;23,00;13,00;19,00;26,00;6,00;15,00;8,00;4,00;3,00;3,00;38,00;1,00;0,00;0,00;3,00;3,00;1,00;0,00
2021-12-05;6,00;105,00;33,00;15,00;51,00;45,00;3,00;45,00;22,50;24,00;45,00;126,00;63,00;21,00;36,00;24,00;36,00;11,00;14,00;23,00;20,00;7,00;16,00;10,00;6,00;6,00;1,00;18,00;2,00;1,00;3,00;3,00;2,00;0,00;1,00
2021-12-12;7,00;133,00;49,00;35,00;59,50;44,80;2,80;44,80;32,20;16,33;28,00;105,00;39,67;21,00;18,67;16,33;21,00;14,00;15,00;17,00;23,00;8,00;16,00;6,00;8,00;2,00;2,00;25,00;2,00;2,00;2,00;2,00;3,00;3,00;1,00
2021-12-19;10,00;153,33;43,33;20,00;60,00;50,00;1,43;54,29;35,71;12,50;32,50;77,50;57,50;20,00;25,00;20,00;20,00;9,00;13,00;26,00;31,00;9,00;22,00;8,00;4,00;2,00;4,00;20,00;0,00;0,00;4,00;3,00;5,00;3,00;1,00
2021-12-26;20,00;131,43;45,71;20,00;57,14;38,67;2,67;37,33;34,67;22,50;47,50;95,00;60,00;37,50;35,00;22,50;15,00;20,00;15,00;27,00;31,00;8,00;19,00;13,00;7,00;3,00;4,00;46,00;2,00;5,00;2,00;2,00;5,00;2,00;0,00
2022-01-02;15,00;117,00;54,00;27,00;60,00;30,00;0,00;45,00;43,64;20,00;47,50;82,50;47,50;17,50;30,00;20,00;10,00;19,00;17,00;21,00;36,00;4,00;23,00;17,00;11,00;4,00;2,00;26,00;2,00;3,00;2,00;1,00;6,00;2,00;2,00
2022-01-09;15,00;111,00;45,00;21,00;57,00;27,27;2,73;54,55;36,82;22,50;32,50;90,00;60,00;25,00;32,50;20,00;7,50;15,00;11,00;12,00;26,00;6,00;23,00;7,00;8,00;5,00;2,00;29,00;2,00;3,00;2,00;1,00;8,00;0,00;1,00
2022-01-16;10,00;130,00;60,00;33,33;70,00;45,71;2,86;42,86;42,86;20,00;22,50;97,50;72,50;25,00;52,50;22,50;7,50;20,00;10,00;19,00;21,00;8,00;12,00;6,00;9,00;3,00;2,00;31,00;2,00;3,00;5,00;2,00;8,00;1,00;0,00
2022-01-23;23,00;117,88;71,88;31,63;66,13;50,06;1,35;77,12;46,00;20,44;51,11;109,89;86,89;23,00;43,70;18,40;16,10;29,00;17,00;17,00;22,00;8,00;17,00;12,00;5,00;7,00;1,00;35,00;1,00;6,00;1,00;1,00;7,00;0,00;2,00
2022-01-30;21,00;147,00;72,00;39,00;81,00;67,20;1,40;57,40;65,80;26,25;55,13;154,88;60,38;23,33;56,00;23,33;14,00;27,00;24,00;13,00;28,00;12,00;30,00;9,00;13,00;7,00;4,00;38,00;2,00;6,00;2,00;2,00;5,00;3,00;0,00
2022-02-06;25,00;175,00;88,89;44,44;100,00;77,78;4,17;76,39;54,17;30,00;60,00;135,00;75,00;37,50;57,50;35,00;25,00;32,00;29,00;17,00;25,00;11,00;27,00;16,00;14,00;6,00;3,00;46,00;6,00;2,00;5,00;4,00;4,00;3,00;0,00
2022-02-13;27,00;168,00;108,00;57,00;111,00;76,95;2,70;76,95;59,40;31,91;51,55;147,27;85,91;24,55;58,91;39,27;14,73;40,00;22,00;25,00;30,00;10,00;29,00;15,00;13,00;6,00;5,00;52,00;5,00;2,00;4,00;4,00;7,00;4,00;1,00
2022-02-20;24,00;168,00;108,00;54,00;117,00;69,18;1,41;81,88;66,35;38,40;60,00;127,20;74,40;31,20;76,80;26,40;19,20;28,00;38,00;25,00;31,00;13,00;28,00;15,00;11,00;9,00;5,00;48,00;3,00;9,00;5,00;0,00;3,00;2,00;2,00
2022-02-27;28,00;148,40;81,20;44,80;95,20;63,00;4,20;71,40;64,40;30,55;43,27;165,45;73,82;28,00;73,82;35,64;15,27;29,00;22,00;17,00;21,00;13,00;37,00;23,00;16,00;8,00;1,00;31,00;6,00;3,00;2,00;2,00;6,00;3,00;3,00
