Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-21;28,00;28,00;9,33;12,44;40,44;22,40;14,93;11,20;7,47;0,00;0,00;14,00;4,00;14,00;4,00;19,00;4,00;4,00;0,00;14,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;26,00;13,00;13,00;3,25;26,00;9,29;3,71;42,71;13,00;3,00;0,00;13,00;16,00;13,00;6,00;7,00;10,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;7,00;16,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;29,00;6,44;3,22;6,44;19,33;12,69;9,06;12,69;0,00;3,00;0,00;0,00;10,00;13,00;10,00;7,00;10,00;10,00;0,00;10,00;6,00;0,00;3,00;0,00;0,00;3,00;16,00;0,00;0,00;6,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2019-05-12;20,00;6,67;20,00;0,00;6,67;12,73;7,27;12,73;3,64;0,00;3,00;3,00;10,00;10,00;3,00;4,00;0,00;7,00;0,00;10,00;0,00;3,00;3,00;7,00;0,00;0,00;10,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-05-19;39,00;6,50;9,75;9,75;3,25;7,43;9,29;20,43;9,29;3,00;3,00;6,00;16,00;6,00;3,00;7,00;10,00;7,00;3,00;23,00;0,00;3,00;6,00;3,00;0,00;3,00;3,00;3,00;6,00;0,00;0,00;6,00;3,00;3,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;35,00;6,36;9,55;15,91;15,91;19,25;3,50;19,25;0,00;3,00;0,00;3,00;19,00;3,00;6,00;18,00;0,00;3,00;6,00;10,00;0,00;0,00;0,00;6,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-06-02;31,00;6,20;18,60;9,30;15,50;5,47;9,12;16,41;21,88;3,00;0,00;9,00;12,00;3,00;6,00;7,00;6,00;0,00;6,00;25,00;12,00;3,00;6,00;6,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00
2019-06-09;44,00;12,57;15,71;6,29;15,71;18,33;12,83;5,50;9,17;9,00;6,00;9,00;13,00;3,00;16,00;3,00;19,00;3,00;3,00;31,00;9,00;3,00;0,00;3,00;0,00;16,00;6,00;9,00;6,00;0,00;0,00;3,00;0,00;3,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;42,00;12,92;16,15;9,69;12,92;16,43;9,13;36,52;7,30;7,00;0,00;7,00;7,00;3,00;10,00;29,00;16,00;13,00;7,00;42,00;10,00;0,00;3,00;10,00;0,00;10,00;16,00;10,00;7,00;3,00;16,00;0,00;3,00;3,00;0,00;0,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;59,00;3,11;21,74;15,53;9,32;14,75;23,97;23,97;3,69;0,00;7,00;10,00;14,00;7,00;3,00;4,00;35,00;14,00;3,00;21,00;10,00;3,00;0,00;3,00;0,00;14,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;46,00;9,20;3,07;12,27;18,40;11,04;22,08;22,08;3,68;7,00;7,00;11,00;32,00;21,00;11,00;0,00;11,00;14,00;11,00;32,00;4,00;0,00;0,00;28,00;0,00;0,00;14,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;51,00;3,19;31,88;15,94;35,06;23,68;27,32;34,61;3,64;3,00;0,00;7,00;31,00;10,00;27,00;23,00;28,00;24,00;7,00;31,00;14,00;3,00;7,00;14,00;0,00;14,00;3,00;7,00;7,00;7,00;3,00;7,00;7,00;7,00;7,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2019-07-14;69,00;15,68;28,23;21,95;3,14;18,16;25,42;29,05;18,16;11,00;7,00;11,00;33,00;22,00;43,00;0,00;18,00;11,00;7,00;18,00;18,00;4,00;0,00;4,00;4,00;11,00;4,00;0,00;4,00;4,00;7,00;7,00;4,00;14,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-07-21;38,00;69,67;41,17;31,67;6,33;65,14;27,14;41,62;18,10;8,00;0,00;8,00;4,00;15,00;30,00;21,00;31,00;4,00;15,00;15,00;15,00;4,00;4,00;11,00;0,00;4,00;19,00;34,00;4,00;15,00;4,00;8,00;4,00;4,00;8,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00
2019-07-28;36,00;24,00;21,00;9,00;30,00;32,40;28,80;43,20;3,60;15,00;7,00;11,00;18,00;15,00;7,00;4,00;33,00;15,00;7,00;33,00;15,00;0,00;11,00;18,00;0,00;7,00;4,00;15,00;0,00;11,00;7,00;11,00;0,00;11,00;4,00;0,00;7,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-08-04;36,00;19,64;52,36;9,82;36,00;25,20;32,40;72,00;21,60;11,00;11,00;33,00;22,00;11,00;11,00;16,00;29,00;7,00;22,00;40,00;25,00;0,00;4,00;22,00;0,00;15,00;7,00;7,00;7,00;11,00;0,00;11,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-08-11;52,00;19,50;42,25;13,00;26,00;30,48;41,24;44,83;17,93;7,00;7,00;17,00;31,00;14,00;21,00;8,00;31,00;3,00;14,00;45,00;14,00;0,00;0,00;31,00;0,00;10,00;14,00;0,00;7,00;0,00;0,00;10,00;17,00;0,00;7,00;0,00;0,00;7,00;4,00;3,00;0,00;0,00;0,00;0,00
