Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-12-13;51,00;16,00;9,00;4,00;5,00;3,00
2020-12-20;43,00;8,00;10,00;6,00;11,00;3,00
2020-12-27;52,00;8,00;12,00;7,00;10,00;3,00
2021-01-03;61,00;9,00;13,00;7,00;11,00;3,00
2021-01-10;100,00;9,00;12,00;5,00;10,00;3,00
2021-01-17;68,00;12,00;16,00;6,00;9,00;3,00
2021-01-24;46,00;14,00;10,00;6,00;8,00;2,00
2021-01-31;45,00;16,00;9,00;4,00;4,00;2,00
2021-02-07;38,00;10,00;9,00;4,00;5,00;2,00
2021-02-14;37,00;9,00;9,00;4,00;6,00;2,00
2021-02-21;38,00;13,00;9,00;5,00;7,00;2,00
2021-02-28;37,00;11,00;8,00;5,00;6,00;2,00
2021-03-07;39,00;8,00;11,00;5,00;46,00;3,00
2021-03-14;35,00;10,00;8,00;5,00;7,00;3,00
2021-03-21;33,00;8,00;8,00;5,00;13,00;3,00
2021-03-28;31,00;9,00;8,00;5,00;5,00;2,00
2021-04-04;30,00;9,00;9,00;6,00;5,00;2,00
2021-04-11;36,00;8,00;10,00;5,00;4,00;2,00
2021-04-18;35,00;10,00;9,00;6,00;5,00;2,00
2021-04-25;35,00;8,00;10,00;6,00;4,00;2,00
2021-05-02;36,00;9,00;10,00;14,00;6,00;3,00
2021-05-09;35,00;8,00;9,00;29,00;13,00;2,00
2021-05-16;37,00;7,00;10,00;12,00;8,00;2,00
2021-05-23;38,00;8,00;10,00;7,00;8,00;2,00
2021-05-30;37,00;9,00;11,00;18,00;7,00;2,00
2021-06-06;38,00;9,00;11,00;9,00;8,00;3,00
2021-06-13;39,00;9,00;12,00;7,00;8,00;3,00
2021-06-20;41,00;9,00;13,00;11,00;8,00;3,00
2021-06-27;39,00;10,00;10,00;7,00;7,00;2,00
2021-07-04;44,00;11,00;10,00;6,00;7,00;3,00
2021-07-11;54,00;10,00;11,00;15,00;6,00;2,00
2021-07-18;45,00;8,00;12,00;7,00;14,00;2,00
2021-07-25;67,00;9,00;14,00;7,00;11,00;3,00
2021-08-01;41,00;9,00;14,00;8,00;11,00;2,00
