Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2020-08-23;10,00;2,00;11,00;2,00;0,00
2020-08-30;10,00;2,00;12,00;2,00;1,00
2020-09-06;31,00;4,00;10,00;2,00;1,00
2020-09-13;9,00;3,00;14,00;2,00;2,00
2020-09-20;11,00;3,00;11,00;1,00;1,00
2020-09-27;13,00;4,00;8,00;1,00;4,00
2020-10-04;11,00;6,00;10,00;0,00;2,00
2020-10-11;10,00;2,00;13,00;2,00;1,00
2020-10-18;11,00;3,00;11,00;1,00;4,00
2020-10-25;11,00;1,00;12,00;4,00;3,00
2020-11-01;10,00;3,00;10,00;2,00;2,00
2020-11-08;14,00;1,00;11,00;5,00;2,00
2020-11-15;17,00;2,00;9,00;4,00;4,00
2020-11-22;11,00;1,00;10,00;3,00;1,00
2020-11-29;10,00;2,00;12,00;1,00;1,00
2020-12-06;8,00;3,00;16,00;2,00;3,00
2020-12-13;8,00;4,00;18,00;2,00;2,00
2020-12-20;10,00;1,00;13,00;1,00;0,00
2020-12-27;18,00;3,00;20,00;1,00;6,00
2021-01-03;12,00;2,00;12,00;1,00;1,00
2021-01-10;19,00;1,00;11,00;1,00;1,00
2021-01-17;10,00;3,00;5,00;2,00;2,00
2021-01-24;10,00;2,00;8,00;1,00;0,00
2021-01-31;11,00;2,00;11,00;2,00;1,00
2021-02-07;12,00;3,00;11,00;4,00;2,00
2021-02-14;10,00;4,00;9,00;6,00;3,00
2021-02-21;12,00;0,00;10,00;3,00;1,00
2021-02-28;11,00;5,00;10,00;7,00;5,00
2021-03-07;14,00;4,00;10,00;3,00;1,00
2021-03-14;9,00;3,00;12,00;3,00;2,00
2021-03-21;5,00;2,00;7,00;3,00;4,00
2021-03-28;13,00;1,00;14,00;3,00;3,00
2021-04-04;11,00;2,00;12,00;2,00;4,00
2021-04-11;17,00;2,00;9,00;4,00;1,00
2021-04-18;15,00;3,00;13,00;1,00;4,00
2021-04-25;9,00;2,00;11,00;3,00;1,00
2021-05-02;12,00;3,00;11,00;1,00;1,00
2021-05-09;8,00;0,00;11,00;0,00;1,00
2021-05-16;18,00;1,00;9,00;0,00;1,00
2021-05-23;12,00;5,00;7,00;2,00;1,00
2021-05-30;18,00;1,00;12,00;1,00;1,00
2021-06-06;18,00;3,00;14,00;1,00;1,00
2021-06-13;20,00;1,00;13,00;1,00;2,00
2021-06-20;17,00;2,00;13,00;1,00;2,00
2021-06-27;19,00;1,00;10,00;1,00;1,00
2021-07-04;27,00;2,00;17,00;1,00;1,00
2021-07-11;14,00;1,00;8,00;2,00;1,00
2021-07-18;27,00;2,00;14,00;3,00;1,00
2021-07-25;24,00;2,00;31,00;3,00;1,00
2021-08-01;17,00;2,00;14,00;2,00;2,00
2021-08-08;29,00;1,00;15,00;0,00;0,00
2021-08-15;45,00;2,00;16,00;4,00;2,00
2021-08-22;30,00;3,00;10,00;1,00;2,00
2021-08-29;14,00;1,00;10,00;0,00;1,00
2021-09-05;13,00;2,00;11,00;1,00;1,00
2021-09-12;14,00;1,00;11,00;1,00;1,00
2021-09-19;15,00;4,00;15,00;1,00;1,00
2021-09-26;11,00;2,00;6,00;1,00;0,00
2021-10-03;10,00;3,00;11,00;3,00;0,00
2021-10-10;11,00;2,00;12,00;1,00;2,00
2021-10-17;13,00;0,00;9,00;1,00;1,00
2021-10-24;13,00;2,00;11,00;2,00;3,00
2021-10-31;27,00;3,00;5,00;1,00;3,00
2021-11-07;10,00;2,00;11,00;3,00;1,00
2021-11-14;10,00;2,00;10,00;0,00;1,00
2021-11-21;29,00;1,00;15,00;0,00;1,00
2021-11-28;11,00;1,00;14,00;1,00;3,00
2021-12-05;8,00;3,00;9,00;1,00;3,00
2021-12-12;16,00;14,00;11,00;0,00;1,00
2021-12-19;9,00;2,00;17,00;1,00;1,00
2021-12-26;15,00;5,00;10,00;1,00;1,00
2022-01-02;14,00;1,00;16,00;1,00;3,00
2022-01-09;20,00;4,00;14,00;4,00;1,00
2022-01-16;26,00;4,00;20,00;4,00;4,00
2022-01-23;16,00;1,00;10,00;2,00;4,00
2022-01-30;19,00;3,00;9,00;1,00;5,00
2022-02-06;12,00;4,00;10,00;2,00;2,00
2022-02-13;15,00;2,00;9,00;1,00;4,00
2022-02-20;16,00;3,00;9,00;3,00;1,00
2022-02-27;6,00;2,00;11,00;2,00;2,00
