Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;29,00;4,00;8,00;0,00;0,00
2021-04-04;28,00;8,00;8,00;0,00;0,00
2021-04-11;34,00;8,00;15,00;0,00;0,00
2021-04-18;27,00;12,00;24,00;4,00;0,00
2021-04-25;26,00;4,00;27,00;0,00;0,00
2021-05-02;15,00;11,00;19,00;0,00;0,00
2021-05-09;20,00;8,00;24,00;0,00;0,00
2021-05-16;45,00;0,00;8,00;8,00;0,00
2021-05-23;40,00;8,00;8,00;4,00;4,00
2021-05-30;16,00;0,00;20,00;0,00;4,00
2021-06-06;19,00;4,00;0,00;4,00;8,00
2021-06-13;35,00;4,00;36,00;0,00;8,00
2021-06-20;65,00;8,00;16,00;0,00;0,00
2021-06-27;54,00;8,00;24,00;4,00;0,00
2021-07-04;49,00;8,00;33,00;4,00;0,00
2021-07-11;54,00;0,00;34,00;4,00;0,00
2021-07-18;33,00;5,00;14,00;5,00;10,00
2021-07-25;27,00;0,00;73,00;0,00;5,00
2021-08-01;49,00;4,00;18,00;9,00;5,00
2021-08-08;54,00;4,00;27,00;0,00;0,00
2021-08-15;63,00;4,00;30,00;9,00;0,00
2021-08-22;44,00;0,00;22,00;0,00;4,00
2021-08-29;42,00;8,00;9,00;0,00;0,00
2021-09-05;39,00;4,00;17,00;0,00;0,00
2021-09-12;29,00;0,00;17,00;0,00;13,00
2021-09-19;45,00;12,00;17,00;4,00;8,00
2021-09-26;25,00;4,00;17,00;4,00;0,00
2021-10-03;25,00;4,00;26,00;4,00;0,00
2021-10-10;9,00;4,00;9,00;0,00;5,00
2021-10-17;43,00;4,00;17,00;0,00;0,00
2021-10-24;25,00;4,00;13,00;9,00;4,00
2021-10-31;29,00;0,00;25,00;0,00;4,00
2021-11-07;33,00;8,00;13,00;4,00;0,00
2021-11-14;29,00;0,00;21,00;13,00;13,00
2021-11-21;32,00;0,00;12,00;4,00;0,00
2021-11-28;20,00;0,00;12,00;0,00;4,00
2021-12-05;24,00;4,00;33,00;4,00;4,00
2021-12-12;8,00;21,00;17,00;0,00;4,00
2021-12-19;39,00;10,00;5,00;0,00;0,00
2021-12-26;56,00;5,00;26,00;0,00;5,00
2022-01-02;44,00;9,00;36,00;0,00;4,00
2022-01-09;34,00;4,00;43,00;9,00;9,00
2022-01-16;63,00;8,00;34,00;13,00;0,00
2022-01-23;47,00;13,00;22,00;0,00;4,00
2022-01-30;70,00;9,00;31,00;0,00;9,00
2022-02-06;40,00;0,00;9,00;9,00;0,00
2022-02-13;49,00;4,00;14,00;5,00;9,00
2022-02-20;43,00;4,00;22,00;4,00;0,00
2022-02-27;41,00;5,00;36,00;0,00;0,00
