Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-28;34,00;0,00;1,42;0,00;28,33;0,00;0,00;1,06;1,06;2,00;0,00;7,00;2,00;1,00;3,00;2,00;2,00;2,00;0,00;1,00;3,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;1,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-05-05;40,00;2,86;2,86;0,00;11,43;3,24;1,08;1,08;0,00;1,00;0,00;7,00;2,00;1,00;7,00;4,00;5,00;2,00;0,00;0,00;1,00;0,00;1,00;2,00;0,00;2,00;0,00;0,00;5,00;0,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;36,00;5,76;1,44;1,44;5,76;1,06;0,00;4,24;0,00;2,00;0,00;4,00;0,00;4,00;2,00;8,00;0,00;5,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;34,00;0,00;2,83;0,00;7,08;0,00;0,00;3,29;0,00;0,00;0,00;11,00;1,00;5,00;2,00;6,00;2,00;0,00;0,00;0,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;5,00;0,00;1,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;1,00
2019-05-26;56,00;0,00;0,00;0,00;4,31;2,15;0,00;2,15;0,00;3,00;0,00;12,00;1,00;4,00;3,00;9,00;4,00;4,00;0,00;1,00;1,00;0,00;1,00;4,00;0,00;1,00;1,00;4,00;6,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;48,00;0,00;4,24;0,00;9,88;0,00;1,07;4,27;0,00;1,00;0,00;5,00;0,00;6,00;8,00;4,00;1,00;4,00;0,00;4,00;2,00;0,00;0,00;6,00;0,00;2,00;1,00;1,00;6,00;0,00;1,00;2,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-06-09;51,00;0,00;1,42;4,25;9,92;4,34;0,00;1,09;0,00;1,00;0,00;10,00;5,00;2,00;12,00;6,00;1,00;12,00;0,00;0,00;2,00;0,00;0,00;10,00;1,00;0,00;1,00;1,00;7,00;0,00;5,00;2,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-06-16;40,00;1,43;1,43;1,43;11,43;6,49;2,16;2,16;0,00;4,00;1,00;9,00;2,00;1,00;6,00;9,00;4,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;1,00;1,00;5,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;59,00;1,40;4,21;0,00;8,43;2,15;0,00;1,07;0,00;1,00;0,00;7,00;0,00;1,00;7,00;3,00;4,00;10,00;0,00;0,00;4,00;3,00;1,00;3,00;1,00;0,00;0,00;4,00;3,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;46,00;1,39;1,39;5,58;9,76;0,00;0,00;1,07;0,00;2,00;0,00;10,00;1,00;1,00;9,00;27,00;6,00;2,00;0,00;1,00;4,00;0,00;2,00;6,00;1,00;2,00;0,00;4,00;5,00;1,00;5,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;60,00;0,00;0,00;1,43;18,57;2,14;1,07;5,36;0,00;1,00;1,00;17,00;0,00;5,00;12,00;31,00;4,00;9,00;1,00;1,00;0,00;0,00;1,00;8,00;0,00;1,00;0,00;3,00;6,00;0,00;5,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;81,00;2,84;8,53;2,84;19,89;0,00;0,00;1,08;0,00;6,00;0,00;17,00;1,00;3,00;12,00;8,00;4,00;3,00;0,00;0,00;4,00;0,00;3,00;6,00;1,00;0,00;0,00;1,00;6,00;0,00;6,00;3,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-07-21;89,00;8,48;5,65;5,65;24,02;11,80;0,00;3,22;1,07;3,00;0,00;12,00;1,00;7,00;9,00;9,00;6,00;1,00;0,00;0,00;3,00;0,00;0,00;3,00;4,00;1,00;1,00;2,00;10,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
