Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-10-31;32,00;32,00;16,00;16,00;224,00;32,00;16,00;416,00;16,00;4,00;4,00;136,00;256,00;149,33;5,33;10,67;277,33;0,00;4,57;169,14;4,57;0,00;7,11;64,00;17,78;0,00;0,00;0,00;5,00;3,56;0,00;92,44;0,00;68,27;0,00;44,80;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;21,00;10,50;10,50;10,50;126,00;10,50;10,50;231,00;10,50;0,00;0,00;98,00;133,00;136,50;5,25;21,00;325,50;8,40;0,00;109,20;4,20;0,00;3,50;59,50;24,50;0,00;0,00;0,00;0,00;7,00;0,00;105,00;0,00;60,90;0,00;16,80;0,00;5,00;3,00;0,00;0,00;0,00;0,00
2021-11-14;23,00;23,00;11,50;0,00;207,00;23,00;11,50;161,00;11,50;7,67;3,83;99,67;138,00;115,00;5,75;23,00;264,50;4,60;0,00;128,80;4,60;0,00;0,00;52,57;19,71;0,00;3,00;3,00;5,00;3,83;3,83;61,33;0,00;18,82;0,00;20,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;23,00;11,50;11,50;23,00;115,00;11,50;11,50;138,00;11,50;7,67;0,00;61,33;214,67;57,50;0,00;23,00;126,50;4,60;9,20;156,40;0,00;0,00;3,29;26,29;32,86;3,00;0,00;3,00;13,00;3,83;3,83;30,67;0,00;33,45;0,00;12,55;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2021-11-28;43,00;43,00;21,50;21,50;215,00;10,75;10,75;172,00;10,75;8,60;0,00;68,80;180,60;107,50;5,38;21,50;150,50;4,78;9,56;133,78;0,00;0,00;3,31;36,38;39,69;0,00;0,00;0,00;10,00;3,58;3,58;71,67;0,00;47,10;0,00;12,29;3,00;8,00;0,00;0,00;0,00;0,00;0,00
2021-12-05;41,00;41,00;41,00;20,50;287,00;10,25;10,25;307,50;10,25;8,20;8,20;164,00;164,00;112,75;0,00;20,50;205,00;4,56;4,56;200,44;0,00;6,83;6,83;75,17;34,17;0,00;3,00;3,00;3,00;13,67;3,42;116,17;0,00;49,20;0,00;47,15;5,00;3,00;5,00;0,00;0,00;0,00;0,00
2021-12-12;28,00;28,00;14,00;14,00;336,00;28,00;14,00;476,00;14,00;7,00;14,00;245,00;119,00;158,67;4,67;28,00;373,33;4,67;0,00;233,33;0,00;3,50;10,50;105,00;35,00;0,00;6,00;0,00;11,00;38,50;7,00;161,00;0,00;94,00;28,00;72,00;0,00;8,00;3,00;0,00;0,00;0,00;0,00
2021-12-19;81,00;20,25;20,25;0,00;445,50;27,00;13,50;567,00;13,50;4,05;8,10;251,10;186,30;324,00;5,06;20,25;334,13;0,00;0,00;342,00;4,50;0,00;23,63;121,50;40,50;0,00;4,00;4,00;11,00;24,65;3,52;204,26;3,52;91,13;18,23;34,43;4,00;11,00;0,00;4,00;0,00;0,00;4,00
2021-12-26;91,00;45,50;45,50;22,75;910,00;11,38;11,38;819,00;22,75;7,58;15,17;379,17;235,08;414,56;10,11;70,78;677,44;4,55;22,75;313,95;0,00;0,00;16,85;185,37;77,52;3,00;7,00;4,00;28,00;7,28;7,28;320,32;0,00;127,40;0,00;72,80;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;60,00;30,00;30,00;0,00;510,00;15,00;30,00;1110,00;15,00;7,50;3,75;420,00;232,50;570,00;0,00;50,00;600,00;4,62;9,23;207,69;13,85;0,00;26,67;216,67;43,33;0,00;3,00;6,00;12,00;17,65;10,59;352,94;0,00;134,00;0,00;78,00;0,00;30,00;0,00;3,00;0,00;0,00;0,00
2022-01-09;89,00;44,50;22,25;22,25;667,50;22,25;11,13;600,75;11,13;4,05;8,09;291,27;186,09;556,25;5,56;122,38;623,00;4,45;4,45;191,35;0,00;0,00;13,19;158,22;39,56;0,00;0,00;3,00;9,00;7,12;3,56;231,40;0,00;111,77;0,00;91,07;3,00;9,00;0,00;3,00;0,00;0,00;0,00
2022-01-16;35,00;35,00;17,50;17,50;350,00;35,00;35,00;1015,00;17,50;14,00;7,00;210,00;189,00;268,33;0,00;46,67;536,67;4,38;4,38;201,25;4,38;0,00;12,73;184,55;25,45;0,00;3,00;0,00;15,00;10,50;7,00;301,00;0,00;96,76;0,00;67,94;0,00;15,00;6,00;0,00;0,00;0,00;0,00
2022-01-23;40,00;20,00;20,00;20,00;320,00;20,00;10,00;540,00;10,00;8,00;8,00;240,00;200,00;300,00;0,00;30,00;490,00;8,89;8,89;182,22;4,44;0,00;10,00;106,67;56,67;0,00;0,00;0,00;9,00;7,27;7,27;283,64;0,00;158,00;0,00;66,00;3,00;14,00;0,00;0,00;0,00;0,00;0,00
2022-01-30;39,00;39,00;39,00;19,50;390,00;9,75;9,75;585,00;9,75;3,90;3,90;351,00;226,20;263,25;0,00;29,25;438,75;4,33;4,33;173,33;4,33;0,00;6,50;143,00;26,00;3,00;0,00;3,00;9,00;3,55;3,55;237,55;0,00;114,95;0,00;75,95;3,00;9,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;51,00;51,00;51,00;25,50;612,00;12,75;12,75;765,00;12,75;7,29;3,64;262,29;189,43;295,80;0,00;40,80;499,80;4,64;13,91;245,73;4,64;0,00;20,40;119,00;64,60;6,00;0,00;0,00;3,00;0,00;7,29;233,14;7,29;97,92;2,04;71,40;0,00;21,00;0,00;3,00;0,00;0,00;0,00
2022-02-13;44,00;44,00;44,00;22,00;616,00;11,00;22,00;550,00;11,00;14,67;7,33;249,33;161,33;275,00;5,50;44,00;407,00;4,40;0,00;123,20;4,40;3,38;10,15;118,46;50,77;0,00;3,00;3,00;6,00;0,00;7,33;227,33;0,00;130,00;0,00;92,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2022-02-20;32,00;32,00;16,00;16,00;320,00;32,00;16,00;768,00;16,00;4,00;8,00;352,00;168,00;298,67;0,00;42,67;448,00;9,14;4,57;173,71;0,00;3,20;9,60;73,60;44,80;3,00;0,00;0,00;6,00;7,11;7,11;195,56;0,00;66,00;0,00;58,00;6,00;12,00;0,00;0,00;0,00;0,00;3,00
2022-02-27;32,00;16,00;16,00;16,00;288,00;0,00;16,00;608,00;16,00;8,00;4,00;232,00;176,00;266,67;10,67;21,33;373,33;0,00;4,57;169,14;0,00;0,00;3,20;102,40;16,00;4,00;4,00;0,00;4,00;10,67;0,00;138,67;0,00;98,00;0,00;60,00;0,00;11,00;7,00;0,00;0,00;0,00;0,00
