Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;16,00;2,00;27,00;2,00;3,00
2021-04-04;18,00;2,00;30,00;2,00;2,00
2021-04-11;18,00;3,00;31,00;2,00;2,00
2021-04-18;18,00;2,00;32,00;2,00;2,00
2021-04-25;16,00;1,00;29,00;2,00;2,00
2021-05-02;17,00;3,00;33,00;2,00;2,00
2021-05-09;19,00;2,00;29,00;2,00;2,00
2021-05-16;18,00;2,00;30,00;2,00;2,00
2021-05-23;16,00;3,00;29,00;2,00;2,00
2021-05-30;21,00;2,00;27,00;1,00;3,00
2021-06-06;22,00;2,00;28,00;2,00;2,00
2021-06-13;21,00;2,00;25,00;1,00;2,00
2021-06-20;18,00;2,00;28,00;1,00;2,00
2021-06-27;19,00;2,00;27,00;1,00;2,00
2021-07-04;26,00;2,00;28,00;1,00;2,00
2021-07-11;20,00;2,00;27,00;1,00;2,00
2021-07-18;21,00;2,00;29,00;2,00;5,00
2021-07-25;24,00;2,00;40,00;1,00;1,00
2021-08-01;20,00;2,00;31,00;1,00;1,00
2021-08-08;22,00;2,00;26,00;1,00;1,00
2021-08-15;20,00;2,00;24,00;2,00;1,00
2021-08-22;17,00;2,00;90,00;2,00;2,00
2021-08-29;17,00;2,00;46,00;1,00;2,00
2021-09-05;17,00;3,00;27,00;1,00;1,00
2021-09-12;13,00;3,00;26,00;1,00;1,00
2021-09-19;15,00;2,00;26,00;1,00;1,00
2021-09-26;15,00;2,00;25,00;2,00;1,00
2021-10-03;14,00;2,00;24,00;1,00;1,00
2021-10-10;15,00;3,00;28,00;2,00;1,00
2021-10-17;16,00;2,00;27,00;1,00;1,00
2021-10-24;16,00;2,00;25,00;1,00;2,00
2021-10-31;18,00;2,00;27,00;1,00;1,00
2021-11-07;17,00;2,00;23,00;1,00;2,00
2021-11-14;15,00;2,00;26,00;1,00;1,00
2021-11-21;17,00;2,00;26,00;1,00;1,00
2021-11-28;16,00;2,00;25,00;1,00;1,00
2021-12-05;15,00;4,00;26,00;1,00;1,00
2021-12-12;15,00;6,00;29,00;1,00;1,00
2021-12-19;20,00;1,00;29,00;2,00;2,00
2021-12-26;19,00;3,00;29,00;1,00;2,00
2022-01-02;23,00;2,00;27,00;1,00;2,00
2022-01-09;21,00;2,00;32,00;1,00;1,00
2022-01-16;20,00;2,00;33,00;1,00;2,00
2022-01-23;20,00;2,00;26,00;1,00;1,00
2022-01-30;21,00;2,00;27,00;1,00;2,00
2022-02-06;18,00;2,00;29,00;1,00;1,00
2022-02-13;19,00;1,00;28,00;1,00;3,00
2022-02-20;18,00;1,00;26,00;1,00;2,00
2022-02-27;18,00;1,00;29,00;1,00;1,00
