Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2021-08-29;11,00;15,00;1,00;0,00;1,00;17,00;1,00;1,00;16,00;29,00;1,00;1,00;1,00;1,00;18,00;1,00;0,50;1,00;1,00;1,00;3,00;2,00;3,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-05;11,00;13,00;1,00;0,00;1,00;15,00;1,00;2,00;10,00;21,00;1,00;0,50;0,50;0,50;13,00;1,00;0,50;1,00;1,00;1,00;2,00;2,00;1,00;0,00;0,50;0,00;0,50;1,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;8,00;13,00;1,00;0,00;1,00;13,00;1,00;1,00;9,00;16,00;0,50;0,50;1,00;0,50;13,00;1,00;0,50;0,50;1,00;1,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;8,00;15,00;1,00;0,00;1,00;14,00;1,00;1,00;6,00;15,00;1,00;1,00;1,00;1,00;10,00;1,00;0,50;1,00;0,50;1,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;8,00;11,00;2,00;0,00;1,00;11,00;1,00;1,00;8,00;13,00;0,50;0,50;1,00;1,00;7,00;1,00;0,50;0,50;1,00;1,00;1,00;1,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-03;10,00;8,00;1,00;0,00;1,00;9,00;1,00;1,00;6,00;11,00;2,00;1,00;1,00;1,00;6,00;1,00;0,00;1,00;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;10,00;10,00;1,00;0,00;1,00;7,00;1,00;1,00;5,00;10,00;1,00;0,50;1,00;1,00;4,00;1,00;0,50;0,50;1,00;0,50;2,00;0,50;2,00;0,00;0,00;0,00;0,00;2,00;0,50;0,00;0,50;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2021-10-17;10,00;10,00;1,00;0,00;2,00;6,00;1,00;1,00;4,00;7,00;1,00;1,00;1,00;0,50;3,00;1,00;0,50;0,50;1,00;0,50;1,00;1,00;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-24;8,00;8,00;1,00;0,00;1,00;5,00;1,00;1,00;3,00;5,00;1,00;1,00;1,00;0,50;2,00;0,50;0,00;1,00;1,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2021-10-31;8,00;8,00;0,50;0,00;2,00;4,00;1,00;1,00;2,00;5,00;2,00;1,00;1,00;0,50;2,00;1,00;0,50;2,00;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;9,00;8,00;1,00;0,00;2,00;4,00;1,00;1,00;1,00;4,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50;0,50;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-14;9,00;7,00;0,50;0,00;1,00;4,00;1,00;1,00;3,00;4,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;1,00;0,00;0,00;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;7,00;7,00;1,00;0,00;1,00;4,00;1,00;1,00;2,00;3,00;1,00;0,50;1,00;1,00;3,00;0,50;0,00;0,50;1,00;0,50;0,50;0,50;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-28;6,00;4,00;1,00;0,50;1,00;4,00;0,50;1,00;3,00;4,00;1,00;0,50;0,00;0,50;3,00;0,50;0,00;0,50;0,50;1,00;0,50;1,00;1,00;0,00;0,50;0,00;0,50;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-05;8,00;5,00;1,00;0,00;1,00;3,00;1,00;1,00;2,00;4,00;0,50;0,50;1,00;0,50;2,00;0,50;0,00;0,50;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-12;6,00;5,00;1,00;0,00;0,50;4,00;1,00;1,00;3,00;5,00;1,00;0,50;1,00;0,50;2,00;1,00;0,50;0,50;1,00;0,50;1,00;0,50;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-19;5,00;6,00;0,50;0,00;1,00;3,00;0,50;0,50;2,00;4,00;0,50;0,50;1,00;0,50;4,00;1,00;0,50;0,50;0,50;1,00;1,00;0,00;1,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-26;10,00;9,00;2,00;0,00;1,00;7,00;0,50;1,00;3,00;5,00;1,00;1,00;1,00;0,50;4,00;1,00;0,50;1,00;0,50;0,50;1,00;1,00;2,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;7,00;12,00;1,00;0,00;0,50;11,00;1,00;2,00;6,00;10,00;1,00;0,50;1,00;1,00;6,00;2,00;0,50;0,50;1,00;0,50;1,00;1,00;2,00;0,00;0,50;0,50;0,50;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-09;6,00;11,00;1,00;0,00;1,00;10,00;1,00;1,00;6,00;10,00;1,00;1,00;1,00;1,00;8,00;1,00;0,00;1,00;1,00;0,50;1,00;1,00;1,00;0,00;0,50;0,50;0,00;1,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-16;7,00;10,00;1,00;0,00;1,00;11,00;1,00;2,00;9,00;12,00;1,00;1,00;1,00;1,00;7,00;1,00;0,00;1,00;1,00;0,50;1,00;2,00;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-23;7,00;13,00;3,00;0,00;1,00;9,00;2,00;2,00;9,00;13,00;2,00;0,50;1,00;1,00;11,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-30;7,00;16,00;4,00;0,00;2,00;12,00;2,00;2,00;8,00;12,00;1,00;1,00;1,00;1,00;7,00;1,00;0,50;0,50;1,00;0,50;1,00;2,00;1,00;0,00;0,00;0,50;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;10,00;18,00;1,00;0,00;1,00;14,00;1,00;3,00;9,00;14,00;2,00;1,00;1,00;1,00;10,00;1,00;0,50;1,00;1,00;0,50;1,00;2,00;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,50;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2022-02-13;9,00;20,00;3,00;0,00;1,00;18,00;2,00;4,00;16,00;21,00;2,00;1,00;2,00;1,00;11,00;1,00;0,50;1,00;0,50;1,00;1,00;1,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-20;11,00;18,00;2,00;0,00;2,00;17,00;1,00;2,00;14,00;17,00;2,00;0,50;2,00;1,00;11,00;0,50;0,50;1,00;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-27;10,00;21,00;2,00;0,00;1,00;17,00;1,00;3,00;13,00;17,00;2,00;1,00;1,00;1,00;9,00;1,00;0,00;0,50;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,00;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
