Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-04-18;8,00;44,00;48,00;20,00;40,00;32,00;1,00;32,00;28,00;28,00;16,00;56,00;8,00;32,00;16,00;8,00;22,86;12,57;1,14;3,00;6,00;2,00;2,00;3,00;2,00;1,00;2,00;1,00;1,00;4,00;0,50;0,50
2021-04-25;7,00;45,50;45,50;24,50;45,50;28,00;0,88;26,25;26,25;21,00;14,00;49,00;21,00;49,00;42,00;21,00;18,00;13,00;2,00;4,00;5,00;4,00;4,00;4,00;2,00;1,00;2,00;1,00;0,50;1,00;0,50;1,00
2021-05-02;10,00;50,00;43,33;36,67;50,00;33,33;0,83;38,33;26,67;30,00;16,67;50,00;15,00;50,00;30,00;15,00;25,56;16,67;2,22;4,00;8,00;4,00;3,00;5,00;2,00;1,00;1,00;1,00;1,00;2,00;0,50;1,00
2021-05-09;10,00;50,00;46,67;40,00;60,00;45,00;1,67;51,67;38,33;33,33;23,33;56,67;20,00;65,00;40,00;15,00;33,00;14,00;2,00;5,00;13,00;6,00;3,00;3,00;2,00;2,00;2,00;1,00;1,00;4,00;1,00;0,50
2021-05-16;13,00;52,00;39,00;48,75;71,50;59,43;1,86;31,57;55,71;39,00;26,00;78,00;26,00;91,00;52,00;21,67;42,25;17,33;4,33;7,00;9,00;6,00;3,00;10,00;2,00;2,00;2,00;2,00;2,00;6,00;0,50;0,50
2021-05-23;19,00;69,67;38,00;47,50;79,17;72,20;1,90;34,20;62,70;47,50;34,83;91,83;23,75;123,50;57,00;33,25;50,29;15,65;2,24;10,00;13,00;9,00;6,00;6,00;3,00;2,00;1,00;2,00;1,00;11,00;1,00;1,00
2021-05-30;19,00;60,17;41,17;53,83;82,33;62,18;1,73;29,36;57,00;57,00;34,83;91,83;23,75;123,50;71,25;33,25;39,06;16,89;3,17;6,00;11,00;10,00;5,00;7,00;2,00;2,00;5,00;2,00;2,00;5,00;1,00;0,50
2021-06-06;21,00;84,00;45,50;70,00;101,50;77,00;0,88;31,50;57,75;73,50;31,50;112,00;36,75;136,50;68,25;36,75;44,21;22,11;4,42;10,00;12,00;14,00;6,00;7,00;1,00;2,00;4,00;0,50;1,00;4,00;2,00;1,00
2021-06-13;19,00;79,17;41,17;72,83;95,00;57,00;0,86;32,82;126,09;63,33;28,50;98,17;66,50;109,25;61,75;28,50;46,44;17,94;5,28;12,00;16,00;13,00;5,00;9,00;2,00;3,00;3,00;2,00;1,00;3,00;1,00;1,00
2021-06-20;25,00;106,25;40,63;87,50;103,13;64,29;1,79;35,71;80,36;89,29;39,29;121,43;55,00;135,00;70,00;40,00;48,91;20,65;4,35;13,00;18,00;15,00;8,00;5,00;3,00;3,00;5,00;2,00;1,00;5,00;1,00;0,50
2021-06-27;25,00;106,25;50,00;106,25;103,13;69,64;0,89;41,07;37,50;100,00;42,86;128,57;70,00;125,00;70,00;40,00;51,09;19,57;7,61;13,00;19,00;19,00;7,00;7,00;3,00;4,00;3,00;3,00;2,00;6,00;1,00;0,50
2021-07-04;28,00;112,00;43,56;115,11;108,89;70,00;1,75;36,75;33,25;87,50;49,00;129,50;32,67;130,67;79,33;42,00;50,62;20,46;6,46;12,00;19,00;15,00;8,00;9,00;3,00;3,00;4,00;2,00;1,00;6,00;2,00;1,00
2021-07-11;31,00;111,60;43,40;105,40;83,70;89,35;1,82;29,18;29,18;106,78;48,22;117,11;36,17;186,00;93,00;56,83;41,69;19,24;4,28;12,00;24,00;20,00;7,00;7,00;3,00;3,00;4,00;1,00;1,00;5,00;1,00;1,00
2021-07-18;36,00;121,09;39,27;81,82;88,36;72,00;0,90;30,60;32,40;114,55;45,82;108,00;46,29;169,71;97,71;56,57;46,91;25,09;4,36;14,00;24,00;15,00;9,00;6,00;2,00;2,00;2,00;2,00;2,00;6,00;2,00;1,00
2021-07-25;37,00;111,00;50,45;67,27;90,82;79,55;1,85;33,30;37,00;121,09;50,45;124,45;52,86;163,86;111,00;52,86;51,15;22,85;6,53;10,00;29,00;18,00;6,00;9,00;3,00;3,00;5,00;1,00;1,00;5,00;1,00;1,00
2021-08-01;34,00;139,40;51,00;74,80;95,20;80,53;0,89;30,42;35,79;132,60;54,40;119,00;48,57;189,43;102,00;48,57;109,68;25,23;5,48;16,00;30,00;19,00;6,00;8,00;4,00;3,00;3,00;2,00;2,00;8,00;2,00;1,00
2021-08-08;33,00;135,30;56,10;105,60;92,40;81,63;1,74;33,00;39,95;128,70;46,20;118,80;42,43;193,29;99,00;47,14;58,55;23,42;7,45;10,00;32,00;21,00;9,00;7,00;4,00;2,00;4,00;3,00;2,00;7,00;2,00;1,00
2021-08-15;34,00;111,27;46,36;89,64;92,73;75,16;1,79;32,21;42,95;129,20;47,60;98,60;48,57;174,86;92,29;48,57;49,35;29,61;7,68;8,00;27,00;17,00;6,00;9,00;2,00;2,00;4,00;1,00;2,00;7,00;2,00;1,00
2021-08-22;43,00;119,08;66,15;95,92;95,92;87,79;0,90;34,04;46,58;122,38;39,69;109,15;43,00;181,56;114,67;52,56;41,93;33,33;6,45;24,00;26,00;14,00;7,00;7,00;5,00;3,00;3,00;1,00;1,00;6,00;1,00;0,00
2021-08-29;21,00;133,00;77,00;101,50;122,50;78,75;1,75;36,75;61,25;122,50;56,00;115,50;47,25;194,25;99,75;57,75;46,42;30,95;7,74;12,00;28,00;20,00;7,00;9,00;3,00;1,00;3,00;3,00;1,00;7,00;2,00;1,00
2021-09-05;22,00;125,71;72,29;78,57;106,86;82,50;1,83;42,17;64,17;113,67;47,67;110,00;55,00;176,00;110,00;55,00;46,20;34,10;5,50;8,00;25,00;17,00;5,00;8,00;3,00;2,00;2,00;1,00;1,00;4,00;1,00;1,00
2021-09-12;22,00;182,29;88,00;88,00;113,14;95,33;1,83;45,83;69,67;122,57;44,00;103,71;39,60;132,00;79,20;44,00;45,05;31,43;4,19;8,00;21,00;21,00;6,00;10,00;2,00;2,00;3,00;1,00;2,00;5,00;1,00;0,50
2021-09-19;24,00;222,86;96,00;106,29;130,29;94,15;0,92;49,85;72,00;116,57;48,00;116,57;43,20;129,60;86,40;52,80;55,64;41,45;5,45;10,00;16,00;16,00;7,00;7,00;3,00;3,00;4,00;1,00;2,00;2,00;1,00;0,50
2021-09-26;18,00;168,00;78,00;96,00;114,00;90,00;1,80;45,00;108,00;111,60;50,40;126,00;36,00;112,50;76,50;45,00;45,53;36,00;5,29;10,00;21,00;17,00;5,00;6,00;2,00;3,00;3,00;1,00;1,00;2,00;1,00;0,50
2021-10-03;24,00;198,86;99,43;126,86;123,43;97,85;1,85;51,69;75,69;116,57;58,29;147,43;43,20;110,40;91,20;52,80;53,45;43,64;5,45;9,00;24,00;21,00;5,00;9,00;1,00;4,00;3,00;1,00;1,00;4,00;2,00;0,50
2021-10-10;21,00;206,50;94,50;150,50;108,50;92,75;1,75;52,50;82,25;136,50;45,50;143,50;57,75;126,00;110,25;63,00;54,16;38,68;4,42;10,00;22,00;21,00;4,00;8,00;3,00;2,00;2,00;1,00;2,00;5,00;0,50;0,00
2021-10-17;15,00;162,00;87,00;105,00;108,00;95,63;0,94;50,63;80,63;150,00;52,50;135,00;50,00;110,00;100,00;55,00;48,21;34,29;5,36;10,00;21,00;17,00;3,00;9,00;2,00;2,00;2,00;2,00;2,00;6,00;1,00;0,50
2021-10-24;17,00;163,20;91,80;105,40;122,40;79,33;1,89;52,89;66,11;132,60;44,20;125,80;45,33;124,67;113,33;68,00;47,81;41,44;5,31;10,00;17,00;15,00;3,00;6,00;2,00;3,00;2,00;1,00;1,00;4,00;0,50;0,50
2021-10-31;15,00;168,75;93,75;105,00;123,75;90,00;0,94;50,63;73,13;142,50;45,00;131,25;45,00;115,00;100,00;50,00;45,00;42,69;4,62;6,00;18,00;16,00;3,00;7,00;3,00;2,00;2,00;1,00;1,00;6,00;2,00;1,00
2021-11-07;11,00;143,00;99,00;88,00;91,67;62,33;1,83;44,00;51,33;110,00;40,33;124,67;38,50;82,50;88,00;38,50;36,30;38,50;4,40;5,00;20,00;10,00;3,00;10,00;2,00;3,00;1,00;1,00;1,00;4,00;1,00;1,00
2021-11-14;10,00;106,67;83,33;50,00;83,33;64,00;2,00;42,00;54,00;76,67;33,33;103,33;30,00;55,00;55,00;35,00;31,11;35,56;4,44;5,00;19,00;11,00;4,00;5,00;1,00;2,00;1,00;3,00;1,00;3,00;0,50;0,00
2021-11-21;8,00;80,00;61,33;37,33;64,00;36,80;1,60;49,60;57,60;84,00;36,00;124,00;24,00;36,00;28,00;28,00;22,00;25,00;2,00;6,00;16,00;12,00;2,00;5,00;1,00;1,00;1,00;1,00;1,00;4,00;0,00;0,50
2021-11-28;7,00;101,50;73,50;31,50;70,00;38,50;0,88;36,75;38,50;59,50;24,50;112,00;21,00;31,50;24,50;31,50;18,00;21,00;2,00;4,00;14,00;9,00;2,00;6,00;1,00;2,00;2,00;2,00;0,50;2,00;0,50;0,50
2021-12-05;9,00;99,00;57,00;39,00;78,00;50,40;0,90;39,60;46,80;63,00;27,00;96,00;31,50;45,00;31,50;45,00;20,00;25,00;3,00;7,00;18,00;9,00;3,00;4,00;2,00;2,00;2,00;0,50;13,00;3,00;0,50;0,50
2021-12-12;9,00;108,00;63,00;51,00;84,00;54,00;1,80;43,20;45,00;66,00;30,00;132,00;36,00;49,50;45,00;49,50;28,00;25,00;5,00;6,00;16,00;11,00;5,00;4,00;3,00;3,00;1,00;1,00;1,00;6,00;1,00;0,50
2021-12-19;14,00;140,00;73,50;52,50;105,00;47,25;1,75;47,25;54,25;105,00;31,50;178,50;42,00;51,33;51,33;46,67;34,46;31,23;3,23;6,00;15,00;10,00;3,00;7,00;1,00;2,00;1,00;1,00;2,00;3,00;0,00;1,00
2021-12-26;17,00;197,20;68,00;44,20;102,00;62,90;0,85;40,80;74,80;119,00;40,80;163,20;38,25;85,00;63,75;46,75;34,00;30,81;5,31;10,00;33,00;13,00;3,00;8,00;2,00;1,00;3,00;3,00;2,00;4,00;1,00;1,00
2022-01-02;16,00;134,40;73,60;48,00;102,40;55,11;1,78;42,67;72,89;80,00;28,80;128,00;42,67;85,33;64,00;42,67;35,20;30,93;3,20;9,00;23,00;14,00;4,00;7,00;3,00;4,00;3,00;2,00;0,50;8,00;1,00;1,00
2022-01-09;16,00;121,60;73,60;48,00;105,60;65,78;0,89;48,00;60,44;67,20;32,00;121,60;42,67;90,67;58,67;32,00;41,60;34,13;4,27;8,00;18,00;10,00;4,00;6,00;2,00;2,00;1,00;1,00;0,50;6,00;0,00;1,00
2022-01-16;17,00;115,60;85,00;54,40;95,20;73,67;0,94;54,78;62,33;68,00;30,60;139,40;45,33;85,00;79,33;28,33;35,13;36,27;4,53;7,00;15,00;11,00;6,00;7,00;2,00;2,00;2,00;1,00;0,50;4,00;0,50;1,00
2022-01-23;18,00;111,00;84,00;60,00;96,00;70,20;0,90;52,20;66,60;86,40;36,00;180,00;36,00;76,50;54,00;27,00;59,29;38,12;4,24;6,00;23,00;12,00;5,00;6,00;3,00;2,00;3,00;1,00;2,00;4,00;0,50;1,00
2022-01-30;21,00;150,50;98,00;73,50;143,50;73,50;1,75;54,25;78,75;87,50;56,00;133,00;47,25;94,50;78,75;31,50;49,74;44,21;4,42;8,00;18,00;18,00;4,00;7,00;2,00;2,00;3,00;2,00;1,00;4,00;1,00;0,50
2022-02-06;24,00;164,57;116,57;82,29;161,14;94,15;1,85;57,23;88,62;92,57;44,57;154,29;48,00;115,20;72,00;38,40;51,27;49,09;5,45;18,00;21,00;16,00;5,00;8,00;3,00;2,00;4,00;4,00;1,00;4,00;1,00;1,00
2022-02-13;23,00;170,86;124,86;95,29;167,57;90,23;1,77;74,31;93,77;111,71;55,86;141,29;41,40;96,60;69,00;32,20;50,38;54,76;5,48;11,00;29,00;17,00;5,00;8,00;3,00;3,00;4,00;1,00;1,00;4,00;0,50;1,00
2022-02-20;19,00;171,00;117,17;114,00;174,17;96,90;1,90;68,40;95,00;114,00;47,50;136,17;47,50;99,75;80,75;42,75;48,06;58,12;4,47;12,00;22,00;15,00;6,00;8,00;1,00;2,00;3,00;2,00;1,00;5,00;1,00;0,50
2022-02-27;27,00;165,38;111,38;121,50;168,75;90,00;1,80;55,80;93,60;114,75;54,00;158,63;48,60;97,20;75,60;48,60;49,68;51,84;5,40;9,00;21,00;15,00;6,00;10,00;2,00;4,00;3,00;2,00;1,00;5,00;1,00;0,00
