Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;95,00;54,45;24,33;64,35;0,77;15,32;33,00;21,00;16,00;19,00;25,00;24,00;26,00;2,00;4,00;18,00;2,00;8,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,00;0,50
2019-01-13;90,00;60,00;21,92;63,62;0,78;13,97;32,00;21,00;18,00;19,00;25,00;26,00;26,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;7,00;5,00;4,00;3,00;1,00;6,00;2,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-01-20;77,00;49,42;19,54;61,60;0,77;12,32;29,00;20,00;17,00;17,00;21,00;24,00;20,00;1,00;5,00;16,00;3,00;6,00;3,00;6,00;8,00;4,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;87,00;55,68;20,88;46,61;0,78;15,54;25,00;20,00;12,00;17,00;21,00;20,00;23,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;0,50
2019-02-03;91,00;58,75;19,58;41,64;0,77;15,42;32,00;24,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;17,00;2,00;7,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;79,00;59,25;18,59;40,27;0,77;15,49;26,00;21,00;13,00;20,00;23,00;21,00;25,00;2,00;5,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;4,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;74,00;60,13;18,50;38,54;0,77;16,96;24,00;21,00;14,00;20,00;19,00;19,00;23,00;2,00;5,00;19,00;13,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-24;78,00;53,55;17,46;39,00;0,78;17,16;27,00;19,00;13,00;18,00;21,00;18,00;23,00;2,00;5,00;19,00;2,00;6,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-03-03;75,00;55,38;19,62;39,80;0,77;12,24;24,00;19,00;11,00;21,00;21,00;19,00;23,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;77,00;58,61;19,54;36,96;0,77;15,40;27,00;19,00;12,00;22,00;19,00;20,00;24,00;2,00;4,00;21,00;4,00;8,00;3,00;7,00;10,00;4,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;73,00;63,73;17,38;37,28;0,78;15,53;21,00;23,00;13,00;21,00;20,00;20,00;25,00;2,00;5,00;19,00;3,00;7,00;3,00;8,00;8,00;4,00;3,00;1,00;0,50;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-24;78,00;53,91;18,35;36,71;0,76;18,35;24,00;22,00;12,00;22,00;19,00;17,00;23,00;2,00;6,00;16,00;3,00;8,00;3,00;8,00;7,00;4,00;3,00;1,00;1,00;5,00;2,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-03-31;70,00;50,49;13,77;57,56;0,78;20,22;31,00;20,00;16,00;23,00;22,00;23,00;20,00;2,00;7,00;18,00;2,00;6,00;3,00;7,00;9,00;5,00;5,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-04-07;75,00;54,23;17,31;57,81;1,56;20,31;31,00;18,00;16,00;22,00;25,00;21,00;19,00;3,00;5,00;17,00;2,00;6,00;4,00;7,00;8,00;4,00;5,00;4,00;1,00;3,00;4,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-04-14;73,00;115,87;12,75;62,13;1,55;26,40;29,00;18,00;15,00;22,00;21,00;21,00;20,00;2,00;5,00;19,00;3,00;8,00;4,00;7,00;9,00;4,00;7,00;4,00;2,00;5,00;5,00;1,00;3,00;1,00;2,00;0,50;0,50
2019-04-21;65,00;49,91;15,09;52,62;0,77;15,48;27,00;16,00;14,00;20,00;18,00;21,00;17,00;2,00;6,00;16,00;3,00;7,00;4,00;7,00;8,00;3,00;6,00;3,00;2,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;1,00
2019-04-28;64,00;45,38;12,80;43,71;0,78;18,73;25,00;18,00;13,00;18,00;25,00;20,00;17,00;1,00;5,00;14,00;2,00;6,00;3,00;6,00;7,00;3,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-05-05;68,00;58,78;14,98;47,91;0,77;18,55;25,00;18,00;16,00;21,00;16,00;22,00;18,00;2,00;6,00;16,00;3,00;7,00;3,00;7,00;6,00;2,00;5,00;4,00;1,00;4,00;2,00;1,00;3,00;1,00;1,00;0,50;0,50
2019-05-12;59,00;47,43;13,88;128,87;0,78;17,08;24,00;17,00;14,00;21,00;19,00;20,00;18,00;2,00;7,00;15,00;3,00;7,00;3,00;9,00;9,00;3,00;5,00;3,00;2,00;3,00;4,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-05-19;57,00;46,53;15,12;73,95;0,77;13,86;25,00;14,00;13,00;18,00;19,00;24,00;17,00;2,00;6,00;15,00;4,00;8,00;4,00;6,00;9,00;4,00;5,00;3,00;1,00;4,00;3,00;1,00;3,00;1,00;2,00;0,50;1,00
2019-05-26;60,00;45,00;12,69;47,69;0,77;15,38;24,00;16,00;13,00;18,00;22,00;20,00;15,00;2,00;6,00;16,00;3,00;5,00;2,00;8,00;6,00;3,00;4,00;3,00;2,00;3,00;3,00;2,00;2,00;0,50;2,00;0,50;0,50
2019-06-02;68,00;55,32;16,14;47,91;0,77;17,00;26,00;18,00;14,00;18,00;20,00;35,00;16,00;4,00;8,00;17,00;3,00;7,00;4,00;7,00;9,00;4,00;6,00;3,00;1,00;4,00;5,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-06-09;68,00;47,25;16,14;49,45;0,77;15,45;27,00;20,00;16,00;20,00;20,00;24,00;20,00;5,00;8,00;18,00;4,00;7,00;5,00;7,00;9,00;3,00;5,00;4,00;1,00;4,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-06-16;71,00;50,39;16,03;43,22;1,54;16,98;29,00;17,00;14,00;21,00;24,00;23,00;18,00;4,00;7,00;17,00;3,00;7,00;4,00;8,00;8,00;4,00;6,00;3,00;2,00;4,00;4,00;1,00;3,00;1,00;2,00;0,50;0,50
2019-06-23;69,00;51,46;16,37;46,00;0,77;21,47;24,00;20,00;17,00;22,00;21,00;22,00;19,00;3,00;7,00;20,00;3,00;9,00;4,00;8,00;9,00;4,00;6,00;2,00;2,00;3,00;3,00;1,00;4,00;1,00;2,00;0,50;0,50
2019-06-30;67,00;50,83;19,64;46,74;0,78;20,26;29,00;23,00;13,00;20,00;22,00;23,00;21,00;4,00;6,00;23,00;4,00;7,00;4,00;8,00;9,00;5,00;6,00;3,00;2,00;5,00;3,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-07-07;70,00;52,79;17,21;45,11;1,56;20,22;34,00;21,00;16,00;21,00;25,00;26,00;22,00;3,00;7,00;18,00;3,00;8,00;5,00;8,00;10,00;5,00;6,00;3,00;2,00;6,00;4,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-07-14;69,00;60,95;19,55;46,00;0,77;23,00;33,00;21,00;18,00;20,00;25,00;26,00;23,00;2,00;9,00;22,00;4,00;9,00;5,00;10,00;11,00;4,00;7,00;3,00;3,00;4,00;5,00;1,00;4,00;1,00;2,00;0,50;1,00
2019-07-21;81,00;63,64;19,67;47,38;1,53;22,92;36,00;23,00;18,00;23,00;26,00;24,00;22,00;3,00;8,00;22,00;3,00;10,00;5,00;10,00;12,00;4,00;8,00;3,00;3,00;5,00;4,00;2,00;3,00;1,00;2,00;0,50;1,00
2019-07-28;82,00;65,83;21,94;47,96;1,55;24,75;35,00;25,00;17,00;25,00;29,00;26,00;25,00;3,00;8,00;22,00;3,00;10,00;5,00;10,00;15,00;5,00;9,00;3,00;2,00;5,00;6,00;2,00;3,00;1,00;3,00;0,50;1,00
2019-08-04;84,00;64,17;19,83;54,44;1,56;26,44;42,00;23,00;15,00;24,00;33,00;28,00;28,00;3,00;7,00;25,00;4,00;9,00;7,00;10,00;16,00;5,00;10,00;4,00;2,00;4,00;5,00;3,00;4,00;1,00;3,00;0,50;1,00
2019-08-11;79,00;66,22;17,43;68,16;0,77;24,78;38,00;22,00;16,00;24,00;30,00;24,00;26,00;3,00;7,00;22,00;4,00;10,00;7,00;8,00;12,00;5,00;9,00;3,00;2,00;4,00;6,00;3,00;4,00;2,00;2,00;0,50;0,50
2019-08-18;76,00;61,97;19,88;52,73;0,78;21,71;38,00;24,00;16,00;24,00;30,00;23,00;25,00;3,00;8,00;18,00;4,00;8,00;5,00;9,00;10,00;5,00;9,00;3,00;2,00;4,00;6,00;3,00;3,00;1,00;3,00;0,50;0,50
2019-08-25;75,00;56,54;17,31;50,00;1,56;20,31;36,00;23,00;17,00;21,00;26,00;25,00;22,00;4,00;6,00;19,00;3,00;8,00;6,00;8,00;10,00;4,00;7,00;5,00;1,00;6,00;4,00;2,00;3,00;1,00;2,00;0,50;0,50
2019-09-01;77,00;58,61;18,39;50,82;0,77;18,48;34,00;21,00;18,00;29,00;26,00;26,00;21,00;2,00;6,00;20,00;3,00;7,00;4,00;7,00;9,00;5,00;6,00;3,00;2,00;5,00;4,00;1,00;3,00;0,50;1,00;0,50;0,50
2019-09-08;72,00;54,58;17,42;47,49;1,53;16,85;31,00;18,00;16,00;21,00;25,00;25,00;21,00;4,00;6,00;19,00;3,00;9,00;5,00;7,00;9,00;4,00;5,00;3,00;1,00;5,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-09-15;77,00;65,51;18,39;55,44;0,77;18,48;32,00;19,00;18,00;26,00;22,00;23,00;22,00;3,00;7,00;20,00;3,00;8,00;2,00;8,00;8,00;4,00;5,00;4,00;1,00;4,00;3,00;1,00;3,00;1,00;1,00;0,50;0,00
2019-09-22;84,00;62,14;17,26;54,98;0,76;15,27;33,00;20,00;17,00;27,00;23,00;24,00;21,00;4,00;5,00;19,00;3,00;9,00;3,00;10,00;11,00;3,00;5,00;3,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-09-29;83,00;59,62;18,70;50,11;0,78;15,66;33,00;19,00;16,00;21,00;25,00;22,00;23,00;3,00;5,00;19,00;3,00;7,00;3,00;9,00;8,00;5,00;6,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;2,00;1,00;0,50
2019-10-06;85,00;55,89;19,79;55,64;1,55;17,00;34,00;20,00;18,00;21,00;25,00;22,00;24,00;3,00;6,00;23,00;4,00;7,00;3,00;8,00;8,00;4,00;5,00;3,00;1,00;4,00;4,00;1,00;3,00;1,00;1,00;0,50;0,00
2019-10-13;71,00;48,89;17,46;47,85;0,77;15,43;29,00;19,00;16,00;19,00;20,00;18,00;19,00;3,00;6,00;18,00;3,00;7,00;4,00;7,00;10,00;3,00;6,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,00
2019-10-20;69,00;55,20;14,95;46,00;1,53;15,33;37,00;21,00;17,00;21,00;23,00;19,00;23,00;3,00;5,00;17,00;2,00;7,00;2,00;7,00;8,00;4,00;4,00;3,00;2,00;5,00;4,00;1,00;3,00;1,00;1,00;0,00;0,50
2019-10-27;67,00;64,69;18,48;48,30;1,56;18,70;28,00;18,00;17,00;21,00;23,00;20,00;28,00;3,00;4,00;16,00;2,00;7,00;3,00;8,00;6,00;4,00;5,00;3,00;1,00;4,00;3,00;2,00;2,00;0,50;1,00;0,50;0,50
2019-11-03;81,00;54,39;20,83;52,96;0,78;18,69;33,00;30,00;18,00;21,00;26,00;19,00;23,00;3,00;4,00;16,00;3,00;7,00;3,00;9,00;7,00;3,00;5,00;4,00;1,00;4,00;3,00;2,00;2,00;0,50;1,00;0,50;0,50
2019-11-10;100,00;54,65;17,44;47,69;0,77;21,54;32,00;18,00;19,00;17,00;23,00;82,00;24,00;3,00;3,00;15,00;3,00;7,00;2,00;8,00;7,00;3,00;4,00;4,00;0,50;3,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-11-17;85,00;54,73;15,14;52,55;0,77;21,64;31,00;19,00;16,00;17,00;26,00;34,00;24,00;4,00;4,00;15,00;3,00;6,00;2,00;6,00;6,00;3,00;5,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-11-24;98,00;56,49;17,29;44,41;0,77;21,44;33,00;18,00;15,00;21,00;24,00;20,00;23,00;5,00;4,00;15,00;3,00;5,00;3,00;7,00;7,00;3,00;5,00;3,00;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-12-01;88,00;56,74;17,37;47,86;0,77;30,88;34,00;21,00;17,00;21,00;26,00;17,00;24,00;3,00;5,00;16,00;3,00;6,00;3,00;6,00;8,00;3,00;6,00;3,00;1,00;4,00;4,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-12-08;69,00;47,95;16,37;42,34;0,78;14,11;27,00;19,00;14,00;20,00;19,00;15,00;20,00;3,00;4,00;12,00;3,00;5,00;3,00;6,00;6,00;3,00;4,00;3,00;1,00;4,00;2,00;0,50;1,00;0,50;1,00;0,00;0,50
2019-12-15;63,00;45,82;13,75;39,95;0,77;13,83;22,00;15,00;13,00;15,00;19,00;16,00;19,00;2,00;4,00;12,00;2,00;7,00;2,00;6,00;5,00;2,00;4,00;3,00;1,00;3,00;3,00;1,00;1,00;0,50;1,00;0,50;0,50
2019-12-22;68,00;48,07;15,24;44,82;0,77;17,00;27,00;17,00;15,00;18,00;21,00;19,00;23,00;3,00;5,00;13,00;3,00;6,00;3,00;6,00;6,00;3,00;5,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-12-29;74,00;52,03;17,34;44,71;0,77;18,50;27,00;19,00;14,00;18,00;26,00;18,00;44,00;2,00;5,00;16,00;3,00;5,00;3,00;5,00;6,00;4,00;6,00;3,00;1,00;2,00;4,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-01-05;83,00;56,49;20,75;56,87;0,77;18,44;29,00;18,00;16,00;23,00;23,00;20,00;22,00;3,00;5,00;17,00;2,00;5,00;3,00;6,00;7,00;3,00;4,00;3,00;1,00;3,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-01-12;87,00;59,16;20,88;62,14;0,78;20,20;29,00;19,00;17,00;24,00;22,00;25,00;22,00;3,00;6,00;16,00;2,00;5,00;3,00;7,00;8,00;3,00;5,00;4,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-01-19;79,00;53,44;20,91;54,22;0,77;17,04;28,00;17,00;16,00;23,00;25,00;20,00;22,00;2,00;6,00;15,00;2,00;4,00;3,00;6,00;7,00;4,00;5,00;3,00;1,00;3,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-01-26;74,00;54,34;18,50;55,50;0,77;15,42;29,00;15,00;16,00;23,00;22,00;23,00;22,00;2,00;6,00;16,00;1,00;5,00;3,00;7,00;7,00;3,00;5,00;3,00;1,00;3,00;2,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-02-02;80,00;56,81;19,71;58,46;0,77;16,92;26,00;18,00;16,00;28,00;22,00;22,00;21,00;2,00;6,00;17,00;3,00;6,00;2,00;6,00;7,00;4,00;4,00;4,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2020-02-09;76,00;52,97;18,42;54,29;0,78;17,06;25,00;18,00;15,00;20,00;20,00;21,00;20,00;2,00;7,00;21,00;2,00;7,00;3,00;7,00;6,00;3,00;4,00;3,00;1,00;4,00;4,00;1,00;2,00;0,50;1,00;0,50;0,50
