Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-05-31;25,00;9,00;15,00;10,00;26,00;6,00;6,00;16,00;9,00
2020-06-07;29,00;6,00;8,00;12,00;36,00;11,00;7,00;30,00;21,00
2020-06-14;36,00;18,00;16,00;12,00;36,00;16,00;12,00;20,00;13,00
2020-06-21;38,00;24,00;26,00;15,00;50,00;14,00;13,00;25,00;17,00
2020-06-28;47,00;21,00;15,00;14,00;49,00;14,00;15,00;17,00;6,00
2020-07-05;49,00;32,00;20,00;14,00;44,00;13,00;11,00;15,00;6,00
2020-07-12;58,00;15,00;27,00;20,00;46,00;14,00;14,00;15,00;7,00
2020-07-19;74,00;17,00;21,00;16,00;47,00;13,00;20,00;17,00;7,00
2020-07-26;87,00;12,00;32,00;17,00;60,00;13,00;13,00;18,00;7,00
2020-08-02;87,00;19,00;27,00;17,00;77,00;11,00;16,00;16,00;6,00
2020-08-09;87,00;12,00;16,00;16,00;67,00;15,00;9,00;19,00;7,00
2020-08-16;74,00;22,00;19,00;13,00;63,00;8,00;8,00;18,00;6,00
2020-08-23;32,00;14,00;22,00;11,00;46,00;7,00;12,00;20,00;7,00
2020-08-30;31,00;15,00;15,00;11,00;37,00;6,00;5,00;21,00;5,00
2020-09-06;49,00;11,00;10,00;15,00;26,00;8,00;12,00;13,00;4,00
2020-09-13;54,00;14,00;12,00;13,00;22,00;3,00;11,00;14,00;5,00
2020-09-20;54,00;20,00;15,00;14,00;15,00;4,00;7,00;14,00;6,00
2020-09-27;52,00;14,00;9,00;22,00;18,00;4,00;6,00;15,00;6,00
2020-10-04;60,00;13,00;18,00;20,00;21,00;4,00;4,00;14,00;7,00
2020-10-11;53,00;6,00;16,00;15,00;13,00;4,00;4,00;16,00;6,00
2020-10-18;57,00;12,00;18,00;18,00;8,00;1,00;4,00;15,00;6,00
2020-10-25;30,00;7,00;5,00;15,00;12,00;1,00;5,00;18,00;5,00
2020-11-01;32,00;12,00;7,00;14,00;9,00;1,00;7,00;16,00;5,00
2020-11-08;39,00;8,00;7,00;14,00;10,00;1,00;5,00;20,00;6,00
2020-11-15;28,00;1,00;10,00;21,00;12,00;2,00;5,00;14,00;6,00
2020-11-22;22,00;5,00;10,00;11,00;8,00;0,50;8,00;12,00;6,00
2020-11-29;36,00;8,00;0,00;10,00;10,00;1,00;3,00;15,00;4,00
2020-12-06;62,00;7,00;12,00;11,00;11,00;1,00;5,00;15,00;5,00
2020-12-13;65,00;9,00;3,00;14,00;8,00;1,00;4,00;14,00;4,00
2020-12-20;48,00;14,00;12,00;19,00;8,00;1,00;5,00;13,00;6,00
2020-12-27;27,00;11,00;20,00;5,00;14,00;1,00;9,00;10,00;5,00
2021-01-03;50,00;7,00;10,00;14,00;11,00;2,00;6,00;10,00;6,00
2021-01-10;35,00;13,00;5,00;8,00;10,00;1,00;4,00;12,00;5,00
2021-01-17;52,00;5,00;19,00;16,00;11,00;1,00;4,00;13,00;6,00
2021-01-24;39,00;14,00;12,00;10,00;14,00;3,00;6,00;9,00;5,00
2021-01-31;49,00;17,00;7,00;16,00;14,00;3,00;4,00;16,00;5,00
2021-02-07;61,00;10,00;24,00;10,00;14,00;3,00;4,00;24,00;5,00
2021-02-14;40,00;13,00;14,00;13,00;10,00;1,00;10,00;12,00;6,00
2021-02-21;33,00;10,00;12,00;18,00;16,00;3,00;8,00;9,00;5,00
2021-02-28;26,00;12,00;19,00;7,00;17,00;1,00;7,00;9,00;5,00
2021-03-07;30,00;10,00;12,00;8,00;19,00;2,00;8,00;12,00;6,00
2021-03-14;55,00;11,00;15,00;26,00;24,00;3,00;8,00;23,00;6,00
2021-03-21;56,00;9,00;15,00;25,00;22,00;3,00;8,00;28,00;7,00
2021-03-28;18,00;14,00;11,00;19,00;22,00;2,00;7,00;19,00;7,00
2021-04-04;33,00;17,00;15,00;8,00;20,00;4,00;7,00;13,00;8,00
2021-04-11;54,00;16,00;12,00;23,00;18,00;5,00;8,00;25,00;9,00
2021-04-18;48,00;4,00;7,00;16,00;18,00;5,00;7,00;26,00;14,00
2021-04-25;58,00;13,00;14,00;12,00;20,00;6,00;11,00;26,00;11,00
2021-05-02;56,00;15,00;9,00;13,00;37,00;7,00;15,00;20,00;15,00
2021-05-09;66,00;27,00;12,00;20,00;41,00;6,00;12,00;28,00;15,00
2021-05-16;36,00;23,00;14,00;22,00;48,00;11,00;16,00;29,00;13,00
2021-05-23;42,00;20,00;22,00;19,00;59,00;9,00;16,00;14,00;11,00
2021-05-30;38,00;17,00;14,00;26,00;62,00;12,00;21,00;17,00;9,00
2021-06-06;60,00;28,00;26,00;25,00;56,00;10,00;20,00;22,00;13,00
2021-06-13;38,00;17,00;20,00;27,00;71,00;13,00;20,00;22,00;11,00
2021-06-20;41,00;16,00;9,00;19,00;69,00;12,00;19,00;12,00;10,00
2021-06-27;43,00;20,00;14,00;17,00;64,00;12,00;13,00;15,00;11,00
2021-07-04;73,00;26,00;18,00;26,00;76,00;14,00;16,00;21,00;10,00
2021-07-11;69,00;16,00;36,00;23,00;60,00;9,00;11,00;21,00;10,00
2021-07-18;51,00;20,00;19,00;18,00;73,00;11,00;17,00;14,00;11,00
2021-07-25;57,00;27,00;24,00;20,00;76,00;12,00;26,00;15,00;10,00
2021-08-01;100,00;27,00;20,00;31,00;79,00;14,00;32,00;20,00;8,00
2021-08-08;74,00;26,00;27,00;23,00;75,00;15,00;19,00;31,00;10,00
2021-08-15;55,00;14,00;13,00;17,00;72,00;10,00;21,00;18,00;11,00
2021-08-22;43,00;33,00;16,00;19,00;55,00;11,00;17,00;14,00;9,00
2021-08-29;35,00;20,00;23,00;15,00;41,00;9,00;29,00;18,00;10,00
2021-09-05;38,00;17,00;14,00;19,00;33,00;7,00;25,00;15,00;11,00
2021-09-12;38,00;20,00;21,00;14,00;29,00;5,00;17,00;14,00;9,00
2021-09-19;59,00;17,00;17,00;16,00;26,00;5,00;9,00;23,00;9,00
2021-09-26;51,00;12,00;8,00;17,00;28,00;4,00;20,00;26,00;10,00
2021-10-03;62,00;23,00;15,00;20,00;30,00;3,00;16,00;17,00;10,00
2021-10-10;68,00;22,00;14,00;20,00;23,00;6,00;18,00;21,00;10,00
2021-10-17;67,00;10,00;12,00;17,00;27,00;9,00;7,00;26,00;11,00
2021-10-24;65,00;13,00;27,00;18,00;27,00;7,00;6,00;25,00;10,00
2021-10-31;72,00;10,00;11,00;17,00;26,00;5,00;10,00;20,00;9,00
2021-11-07;42,00;8,00;13,00;16,00;23,00;6,00;5,00;22,00;7,00
